drive,fds,result,penyds,ydsgained,numplays,postime
24,0,Field Goal,0,2,6,1:08
25,1,End of Game,0,23,5,1:06
20,0,Punt,-10,10,5,2:21
21,1,Touchdown,0,57,2,0:12
22,2,Field Goal,0,57,11,3:22
23,2,Interception,0,32,7,1:16
1,0,Punt,0,8,5,1:23
3,2,Punt,-10,28,9,3:59
2,4,Touchdown,-10,89,13,6:27
5,0,Fumble,-5,-13,5,1:57
4,1,Punt,-5,7,7,2:26
7,0,Field Goal,0,-5,4,1:40
6,0,Punt,0,9,6,2:24
9,1,Downs,0,40,8,4:23
8,1,Touchdown,0,30,4,0:21
11,0,Punt,0,1,6,0:31
10,2,Field Goal,-5,42,11,3:16
13,0,End of Half,0,-10,2,0:20
12,1,Missed FG,0,25,7,0:53
15,3,Touchdown,0,59,8,3:58
14,0,Punt,0,6,5,0:57
17,2,Punt,5,13,12,4:11
16,4,Field Goal,14,46,12,4:56
19,3,Interception,0,40,6,3:03
18,2,Punt,0,32,8,3:30
