drive,fds,result,penyds,ydsgained,numplays,postime
24,2,Field Goal,0,56,13,4:02
25,1,Interception,0,21,9,0:52
20,0,Interception,0,0,1,0:07
21,1,Punt,0,20,7,1:49
22,0,Punt,0,9,4,1:35
23,0,Punt,0,6,4,1:49
1,0,Interception,0,0,3,0:58
3,1,Fumble,0,19,5,2:01
2,0,Missed FG,0,5,4,0:38
5,1,Punt,5,15,8,3:50
4,1,Interception,0,43,4,2:03
7,0,Punt,-5,7,7,1:50
6,5,Touchdown,10,70,14,5:28
9,6,Touchdown,-4,84,17,6:59
8,4,Touchdown,0,83,11,4:18
11,0,End of Half,0,3,2,0:31
10,2,Punt,5,26,9,1:24
13,0,Punt,0,9,5,2:18
12,6,Touchdown,-2,82,15,5:22
15,6,Touchdown,39,51,13,4:58
14,1,Punt,0,14,7,2:12
17,0,Interception,0,6,3,1:05
16,0,Fumble,0,1,2,0:10
19,1,Punt,0,17,5,2:32
18,0,Punt,0,4,4,1:09
