drive,fds,result,penyds,ydsgained,numplays,postime
24,2,Fumble,0,21,5,2:14
25,1,Interception,0,11,3,0:55
26,0,Punt,0,5,4,1:40
27,2,Interception,0,32,6,1:20
20,0,Punt,0,2,4,1:16
21,0,Punt,0,-5,4,1:31
22,0,Punt,0,5,4,1:35
23,7,Touchdown,0,81,19,8:11
28,0,Punt,0,2,7,0:26
29,1,Field Goal,0,16,5,0:28
1,0,Punt,-5,14,6,2:37
3,0,Punt,0,8,5,1:53
2,4,Field Goal,5,54,12,4:15
5,1,Punt,0,13,7,2:57
4,1,Punt,-2,9,8,2:44
7,0,Punt,0,2,4,1:17
6,1,Punt,0,20,6,1:56
9,0,Punt,0,1,4,0:48
8,0,Punt,0,8,5,1:35
11,4,Touchdown,0,75,9,3:19
10,0,Punt,0,3,4,1:42
13,3,Touchdown,15,21,8,2:27
12,0,Fumble,0,15,2,0:19
15,0,End of Half,0,-1,2,0:06
14,4,Touchdown,0,79,13,2:05
17,2,Punt,0,31,7,1:56
16,2,Punt,18,9,7,2:05
19,1,Interception,4,15,7,3:03
18,0,Punt,0,5,4,0:46
30,1,End of Game,-5,3,11,2:34
