drive,fds,result,penyds,ydsgained,numplays,postime
24,3,Touchdown,0,73,8,3:07
25,2,Downs,0,35,9,2:38
26,0,Punt,-5,13,8,0:57
27,1,Fumble,0,9,2,0:43
20,0,Punt,0,-3,5,1:18
21,0,Punt,0,2,4,1:09
22,1,Fumble,-5,43,4,1:49
23,5,Touchdown,15,60,7,2:41
28,0,End of Game,0,-2,3,0:52
1,0,Punt,0,2,5,1:19
3,2,Punt,0,29,10,4:40
2,1,Punt,-5,29,8,4:45
5,3,Punt,0,42,11,5:16
4,1,Punt,0,16,6,1:48
7,0,Punt,-15,7,6,2:06
6,0,Punt,0,2,4,1:33
9,2,Touchdown,0,31,3,0:42
8,1,Fumble,0,16,2,0:48
11,2,Field Goal,0,28,13,3:51
10,0,Punt,-5,6,6,1:29
13,4,Field Goal,25,43,15,1:13
12,2,Touchdown,0,69,6,0:30
15,0,Punt,0,6,4,1:55
14,2,Punt,-5,34,11,5:01
17,0,Punt,0,2,4,1:02
16,1,Punt,0,18,6,3:00
19,1,Punt,0,22,6,2:34
18,0,Punt,0,7,4,1:14
