drive,fds,result,penyds,ydsgained,numplays,postime
4,4,Touchdown,0,75,8,3:55
3,0,Punt,0,-7,5,2:12
17,1,Field Goal,0,44,6,1:24
8,4,Missed FG,5,55,13,5:06
14,4,Touchdown,0,98,10,4:50
19,0,Interception,0,0,1,0:09
12,0,Downs,0,6,4,1:27
9,5,Touchdown,0,68,16,1:53
5,1,Punt,-10,30,9,2:09
1,0,Punt,0,8,5,1:22
13,0,Punt,0,0,4,0:29
21,1,End of Game,0,13,10,2:42
2,4,Touchdown,23,41,13,4:59
16,4,Field Goal,6,59,13,5:53
15,1,Punt,5,23,9,3:28
11,0,Punt,0,-3,5,1:39
20,3,Downs,4,39,17,5:02
6,3,Touchdown,0,80,11,4:48
18,1,Punt,0,4,7,2:57
10,0,End of Half,0,-1,3,0:20
7,2,Punt,-15,46,8,3:16
