drive,fds,result,penyds,ydsgained,numplays,postime
17,4,Field Goal,0,58,10,4:10
4,1,Interception,10,9,8,3:45
21,1,Field Goal,0,30,7,2:54
1,3,Punt,-5,45,15,8:09
22,2,Downs,0,37,8,3:06
18,0,Fumble,0,-12,2,0:07
12,0,Punt,0,-2,5,1:40
6,2,Punt,0,20,10,4:35
3,5,Touchdown,0,80,12,4:36
5,1,Field Goal,-5,16,8,3:39
13,0,Punt,0,6,5,1:35
14,0,Punt,0,6,4,1:43
10,1,Field Goal,0,30,7,3:38
16,2,Fumble,0,57,6,3:08
7,0,Punt,0,5,5,1:07
15,4,Touchdown,-10,73,15,4:08
9,1,Fumble,0,23,4,1:42
8,3,Field Goal,0,58,13,1:49
19,4,Touchdown,-5,89,18,3:46
2,0,Punt,0,-10,5,2:20
11,5,Touchdown,16,64,9,3:30
20,1,End of Half,0,9,9,0:53
