drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
9,1572,1,05:44,,10,2,37,STL 30,0,STL,
9,1652,3,04:06,,1,2,46,SF 34,0,STL,INT
9,1607,1,05:22,,10,2,45,SF 43,0,STL,
9,1527,0,06:22,,0,2,0,SF 35,0,SF,KICKOFF
9,1545,1,06:22,,10,2,10,STL 20,0,STL,
9,1631,2,04:43,,2,2,46,SF 35,0,STL,
24,3544,1,11:44,,10,4,4,STL 21,0,STL,
24,3568,2,11:18,,6,4,-9,STL 25,0,STL,FUMBLE
10,1935,4,00:44,,1,2,80,STL 34,1,SF,TD
10,1893,0,00:44,,0,2,46,,0,,TIMEOUT
10,1719,1,02:37,,10,2,20,SF 33,0,SF,
10,1674,1,03:56,,10,2,4,SF 20,0,SF,
10,1786,1,01:53,,10,2,37,STL 43,0,SF,
10,1952,0,00:37,,0,2,80,STL 2,1,SF,XP
10,1695,2,03:16,,6,2,13,SF 24,0,SF,
10,1810,2,01:47,,10,2,46,STL 43,0,SF,
10,1760,2,02:00,,3,2,37,SF 40,0,SF,
10,1872,3,01:07,,1,2,46,STL 34,0,SF,
20,3175,3,02:30,,10,3,-8,STL 44,0,STL,
20,3153,2,02:34,,10,3,0,STL 44,0,STL,
20,3131,1,02:37,,10,3,0,STL 44,0,STL,
20,3194,4,01:58,,18,3,-8,STL 36,0,STL,PUNT
30,4222,3,03:17,,2,4,8,STL 28,0,STL,
30,4165,0,04:25,,0,4,8,SF 35,0,SF,KICKOFF
30,4180,1,04:25,,10,4,1,STL 20,0,STL,
30,4244,4,03:11,,2,4,8,STL 28,0,STL,PUNT
30,4201,2,03:52,,9,4,8,STL 21,0,STL,
6,913,2,00:13,,16,1,-6,SF 36,0,SF,
6,1004,4,14:53,,21,2,-11,SF 31,0,SF,FUMBLE
6,974,4,15:00,,16,2,-11,SF 36,0,SF,PENALTY
6,878,2,00:45,,6,1,-6,SF 46,0,SF,PENALTY
6,857,1,01:11,,10,1,4,SF 42,0,SF,
6,935,3,00:05,,16,1,-6,SF 36,0,SF,
27,3789,1,08:45,,18,4,-5,SF 7,0,SF,
27,3852,1,06:49,,10,4,9,SF 25,0,SF,FUMBLE
27,3757,1,09:00,,10,4,-5,SF 15,0,SF,PENALTY
27,3810,2,08:07,,15,4,-2,SF 10,0,SF,
27,3831,3,07:30,,12,4,10,SF 13,0,SF,
18,2912,1,05:38,,10,3,-1,STL 24,0,STL,
18,2979,3,04:39,,16,3,-6,STL 18,0,STL,
18,2933,2,05:05,,11,3,-6,STL 23,0,STL,PENALTY
18,3001,4,04:31,,16,3,-6,STL 18,0,STL,PUNT
18,2956,2,04:44,,16,3,-6,STL 18,0,STL,
28,3925,1,05:54,,10,4,18,SF 12,0,STL,PENALTY
28,3877,1,06:41,,10,4,7,SF 24,0,STL,
28,3959,1,05:47,,6,4,24,SF 6,1,STL,TD
28,3984,0,05:44,,0,4,24,SF 2,1,STL,2PR
28,3901,2,06:16,,3,4,12,SF 17,0,STL,
26,3651,0,10:15,,0,4,0,SF 35,0,SF,KICKOFF
26,3714,3,09:46,,10,4,8,STL 20,0,STL,
26,3692,2,09:54,,10,4,0,STL 20,0,STL,
26,3738,4,09:09,,2,4,8,STL 28,0,STL,PUNT
26,3673,1,10:10,,10,4,8,STL 20,0,STL,
31,4263,1,03:00,,10,4,5,SF 13,0,SF,
31,4305,0,02:00,,0,4,6,,0,,
31,4322,3,02:00,,4,4,6,SF 19,0,SF,
31,4284,2,02:19,,5,4,6,SF 18,0,SF,
31,4368,4,01:50,,4,4,6,SF 19,0,SF,PUNT
31,4343,0,01:50,,0,4,6,,0,,TIMEOUT
25,3597,1,11:03,,3,4,2,STL 3,0,SF,
25,3618,2,10:25,,1,4,3,STL 1,1,SF,TD
25,3635,0,10:15,,0,4,3,STL 2,1,SF,XP
1,218,4,11:51,,7,1,27,STL 47,0,STL,PUNT
1,55,1,15:00,,10,1,13,STL 20,0,STL,
1,196,3,11:56,,7,1,27,STL 47,0,STL,
1,154,1,13:16,,10,1,28,STL 44,0,STL,
1,130,3,13:50,,8,1,24,STL 35,0,STL,
1,87,1,14:34,,10,1,15,STL 33,0,STL,
