drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
9,2092,3,14:06,,8,3,2,TEN 32,0,MIN,
9,2114,4,14:01,,8,3,2,TEN 32,1,MIN,FG
9,2049,1,14:49,,10,3,0,TEN 34,0,MIN,
9,2022,0,15:00,,0,3,0,TEN 35,0,TEN,KICKOFF
9,2071,2,14:43,,10,3,2,TEN 34,0,MIN,
10,2201,3,12:33,,1,3,9,TEN 29,0,TEN,
10,2180,2,13:17,,4,3,9,TEN 26,0,TEN,
10,2156,1,13:51,,10,3,6,TEN 20,0,TEN,
10,2134,0,13:56,,0,3,0,MIN 35,0,MIN,KICKOFF
10,2222,4,11:39,,1,3,9,TEN 29,0,TEN,PUNT
20,3686,2,02:04,,10,4,10,TEN 36,0,TEN,
20,3618,0,02:36,,0,4,0,MIN 35,0,MIN,KICKOFF
20,3640,1,02:30,,10,4,10,TEN 26,0,TEN,
20,3749,0,01:49,,0,4,36,,0,,TIMEOUT
20,3861,2,00:56,,1,4,70,MIN 7,0,TEN,
20,3837,1,01:16,,10,4,67,MIN 16,0,TEN,
20,3907,2,00:32,,4,4,74,MIN 4,1,TEN,TD
20,3664,1,02:09,,10,4,10,TEN 36,0,TEN,
20,3708,0,01:58,,0,4,10,,0,,
20,3885,1,00:37,,4,4,70,MIN 4,0,TEN,
20,3928,0,00:28,,0,4,74,MIN 2,0,TEN,2PPF
20,3725,3,01:58,,10,4,36,TEN 36,0,TEN,
20,3790,2,01:27,,3,4,74,MIN 31,0,TEN,PENALTY
20,3766,1,01:49,,10,4,43,MIN 38,0,TEN,
6,1199,2,06:37,,10,2,4,MIN 28,0,MIN,PENALTY
6,1233,2,06:18,,24,2,27,MIN 14,0,MIN,
6,1153,2,07:16,,8,2,18,MIN 12,0,MIN,
6,1280,3,05:49,,22,2,27,MIN 16,0,MIN,
6,1316,4,05:03,,1,2,27,MIN 37,0,MIN,PUNT
6,1177,1,06:43,,10,2,18,MIN 28,0,MIN,
6,1132,1,07:53,,10,2,2,MIN 10,0,MIN,
18,3357,1,08:14,,10,4,0,TEN 15,0,TEN,
18,3379,2,08:09,,10,4,-10,TEN 15,0,TEN,
18,3398,3,07:28,,20,4,-10,TEN 5,0,TEN,
18,3420,4,07:22,,20,4,-10,TEN 5,0,TEN,PUNT
1,100,3,13:29,,1,1,12,TEN 38,0,TEN,
1,231,3,10:39,,11,1,35,MIN 36,0,TEN,
1,167,1,12:07,,10,1,36,MIN 47,0,TEN,
1,58,1,14:54,,10,1,12,TEN 29,0,TEN,
1,265,4,10:35,,11,1,35,MIN 36,0,TEN,PUNT
1,79,2,14:09,,4,1,9,TEN 35,0,TEN,
1,143,2,12:44,,10,1,24,TEN 41,0,TEN,
1,210,2,11:21,,10,1,35,MIN 35,0,TEN,
1,121,1,12:50,,10,1,12,TEN 41,0,TEN,
1,188,1,11:25,,10,1,36,MIN 35,0,TEN,
1,36,0,15:00,,0,1,0,MIN 35,0,MIN,KICKOFF
5,998,3,10:54,,2,2,20,TEN 35,0,TEN,
5,1091,3,08:39,,1,2,28,MIN 44,0,TEN,
5,974,2,11:35,,8,2,8,TEN 29,0,TEN,
5,1044,2,09:39,,5,2,20,MIN 48,0,TEN,PENALTY
5,1067,2,09:20,,10,2,29,TEN 47,0,TEN,
