drive,fds,result,penyds,ydsgained,numplays,postime
11,1,Interception,-5,24,6,2:13
10,2,Field Goal,0,47,9,3:42
13,3,Field Goal,-15,67,12,5:00
12,2,Touchdown,0,75,6,2:04
15,5,Touchdown,0,77,10,2:18
14,0,Punt,0,8,5,1:42
17,1,Downs,-5,25,7,1:31
16,6,Touchdown,-10,83,15,7:13
19,2,Interception,46,26,8,1:36
18,3,Touchdown,0,45,10,2:23
20,0,End of Game,0,-2,2,0:18
1,2,Punt,0,35,9,3:44
3,2,Field Goal,0,54,9,3:24
2,0,Punt,0,8,4,1:56
5,1,Field Goal,-5,19,6,2:38
4,1,Interception,0,29,6,2:10
7,1,Downs,-15,57,9,3:51
6,4,Touchdown,0,75,14,5:58
9,0,End of Half,0,9,3,0:27
8,5,Touchdown,0,67,18,5:52
