drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
1,114,1,13:56,(13:56) D.Stanton pass short left to L.Fitzgerald to ARI 18 for -4 yards (J.Jenkins).,20,1,3,ARI 22,0,ARI,
1,195,3,12:19,"(12:19) (Shotgun) D.Stanton scrambles left tackle to ARI 35 for 4 yards (A.Ogletree, J.Laurinaitis).",11,1,20,ARI 31,0,ARI,
1,79,1,14:28,"(14:28) D.Stanton pass short middle to Jaron.Brown to ARI 43 for 11 yards. PENALTY on ARI-L.Fitzgerald, Illegal Use of Hands, 10 yards, enforced at ARI 32 - No Play.",10,1,7,ARI 32,0,ARI,
1,216,4,11:47,"(11:47) D.Butler punts 30 yards to STL 35, Center-M.Leach, out of bounds. PENALTY on ARI-R.Housler, Illegal Block Above the Waist, 10 yards, enforced at STL 35.",7,1,20,ARI 35,0,ARI,
1,162,3,12:29,"(12:29) (Shotgun) D.Stanton pass incomplete deep right to M.Floyd. PENALTY on STL-M.Barron, Defensive Offside, 5 yards, enforced at ARI 26 - No Play.",16,1,16,ARI 26,0,ARI,
1,138,2,13:13,(13:13) (Shotgun) D.Stanton pass short left to John.Brown to ARI 26 for 8 yards (J.Jenkins).,24,1,11,ARI 18,0,ARI,
1,36,0,15:00,G.Zuerlein kicks 68 yards from STL 35 to ARI -3. T.Ginn pushed ob at ARI 15 for 18 yards (M.Barron).,0,1,0,STL 35,0,STL,
1,58,1,14:57,(14:57) S.Taylor right guard to ARI 32 for 17 yards (R.McLeod).,10,1,17,ARI 15,0,ARI,
19,2886,1,03:04,(3:04) K.Williams right tackle to STL 45 for 12 yards (R.McLeod).,10,3,12,ARI 43,0,ARI,
19,2953,3,01:41,(1:41) (Shotgun) R.Lindley pass incomplete deep right to John.Brown (T.Johnson).,4,3,18,STL 39,0,ARI,
19,2929,2,02:20,(2:20) R.Lindley pass short right to L.Fitzgerald to STL 39 for 6 yards (T.Johnson).,10,3,18,STL 45,0,ARI,
19,2975,4,01:33,"(1:33) D.Butler punts 33 yards to STL 6, Center-M.Leach, downed by ARI-M.Leach.",4,3,18,STL 39,0,ARI,
19,2907,1,02:27,(2:27) R.Lindley pass incomplete short right to D.Fells.,10,3,12,STL 45,0,ARI,
12,2105,4,13:42,"(13:42) J.Hekker punts 59 yards to ARI 16, Center-J.McQuaide. T.Ginn to STL 42 for 42 yards (W.Herring).",5,3,5,STL 25,0,STL,
12,2083,3,13:46,(13:46) (Shotgun) S.Hill pass incomplete short left to J.Cook.,5,3,5,STL 25,0,STL,
12,2062,2,14:28,(14:28) T.Mason up the middle to STL 25 for -1 yards (F.Rucker).,4,3,5,STL 26,0,STL,
12,2026,0,15:00,"C.Catanzaro kicks 65 yards from ARI 35 to end zone, Touchback.",0,3,0,ARI 35,0,ARI,
12,2041,1,15:00,(15:00) T.Mason up the middle to STL 26 for 6 yards (L.Foote).,10,3,6,STL 20,0,STL,
25,4039,3,01:11,(1:11) K.Williams left guard to ARI 49 for 2 yards (A.Ogletree).,6,4,6,ARI 47,0,ARI,
25,3966,0,01:16,Timeout #1 by STL at 01:16.,0,4,2,,0,,
25,4087,4,00:27,"(:27) D.Butler punts 38 yards to STL 18, Center-M.Leach. T.Austin to STL 15 for -3 yards (J.Bethel). FUMBLES (J.Bethel), and recovers at STL 14. T.Austin to STL 14 for no gain (J.Bethel).",9,4,1,ARI 44,0,ARI,
25,4060,4,01:11,"(1:11) (Punt formation) PENALTY on ARI-D.Butler, Delay of Game, 5 yards, enforced at ARI 49 - No Play.",4,4,1,ARI 49,0,ARI,
25,4005,0,01:11,Timeout #3 by STL at 01:11.,0,4,4,,0,,
25,4022,0,01:11,Timeout #3 by ARI at 01:11.,0,4,4,,0,,
25,3945,1,01:23,(1:23) S.Taylor right tackle to ARI 45 for 2 yards (T.McDonald).,10,4,2,ARI 43,0,ARI,
25,3983,2,01:16,(1:16) S.Taylor right tackle to ARI 47 for 2 yards (C.Long).,8,4,4,ARI 45,0,ARI,
6,980,3,11:26,"(11:26) (Shotgun) S.Hill pass short right to J.Cook to ARI 40 for 10 yards (P.Peterson). PENALTY on STL-K.Britt, Offensive Pass Interference, 10 yards, enforced at 50 - No Play.",3,2,19,50,0,STL,
6,870,0,13:36,C.Catanzaro kicks 68 yards from ARI 35 to STL -3. B.Cunningham to STL 21 for 24 yards (D.Bucannon).,0,2,0,ARI 35,0,ARI,
6,892,1,13:31,(13:31) (Shotgun) S.Hill pass incomplete short right to T.Mason.,10,2,0,STL 21,0,STL,
6,914,2,13:28,(13:28) (Shotgun) S.Hill pass deep left to K.Britt to STL 43 for 22 yards (T.Jefferson).,10,2,22,STL 21,0,STL,
6,959,2,12:06,(12:06) T.Mason right tackle to 50 for 1 yard (C.Campbell).,4,2,29,STL 49,0,STL,
