drive,fds,result,penyds,ydsgained,numplays,postime
9,4,Interception,0,51,7,3:37
24,1,Fumble,0,47,4,0:35
10,0,Punt,0,0,5,1:33
20,3,Missed FG,0,44,12,5:47
6,0,Punt,0,8,4,2:07
27,4,Touchdown,0,75,11,4:20
18,1,Interception,0,22,5,2:18
26,6,Field Goal,2,63,22,7:43
25,1,End of Half,-16,16,11,0:56
1,0,Punt,-5,9,6,1:01
5,1,Punt,0,18,8,3:28
13,0,End of Half,0,2,3,0:31
21,2,Touchdown,0,61,6,2:20
23,0,Punt,-2,-6,7,1:57
11,0,Fumble,0,-16,1,0:05
14,1,Punt,0,16,7,2:58
8,1,Punt,0,12,7,2:05
19,7,Touchdown,7,73,13,5:01
22,2,Touchdown,0,68,5,1:46
12,3,Touchdown,0,37,10,1:30
16,0,Punt,0,3,4,2:01
7,5,Touchdown,0,67,13,5:42
3,4,Touchdown,0,55,9,4:18
17,1,Punt,0,12,6,2:17
4,1,Punt,0,5,6,2:10
2,0,Punt,0,-10,4,1:53
15,0,Punt,0,1,4,2:04
