drive,fds,result,penyds,ydsgained,numplays,postime
14,3,Field Goal,0,55,11,4:15
2,3,Touchdown,0,75,6,2:03
5,0,Punt,0,5,6,0:52
9,2,Field Goal,-10,46,13,3:45
4,3,Touchdown,0,75,10,3:37
8,3,Missed FG,-11,51,13,4:00
17,0,Punt,0,7,4,1:33
6,3,Punt,-10,46,11,4:25
12,2,Touchdown,5,70,9,3:37
1,3,Field Goal,0,40,11,4:46
3,4,Touchdown,15,67,9,3:54
7,2,Touchdown,0,99,4,1:32
19,7,Touchdown,-11,96,21,2:25
10,3,Missed FG,15,33,10,1:06
15,4,Field Goal,0,67,14,3:54
13,1,Punt,-5,17,7,2:06
16,3,Punt,0,46,12,6:05
18,0,Punt,0,-5,5,1:50
11,5,Touchdown,47,38,12,4:15
