drive,fds,result,penyds,ydsgained,numplays,postime
20,0,Punt,0,-5,5,1:52
21,4,Field Goal,15,46,11,5:25
22,1,Fumble,0,32,6,1:13
1,0,Punt,0,9,5,1:58
3,0,Interception,0,1,2,0:49
2,0,Punt,0,1,4,2:05
5,4,Field Goal,-10,80,16,7:04
4,3,Touchdown,4,35,10,3:55
7,0,Punt,-5,11,5,2:14
6,2,Interception,0,31,9,3:59
9,3,Touchdown,0,80,9,2:19
8,2,Touchdown,0,34,7,3:42
11,0,End of Half,0,-1,2,0:20
10,4,Interception,10,51,15,1:35
13,0,Punt,0,9,5,1:53
12,3,Field Goal,0,43,9,3:00
15,2,Interception,0,45,3,1:34
14,3,Punt,5,33,11,5:05
17,1,Punt,0,14,6,1:49
16,2,Punt,-10,38,7,3:10
19,1,Interception,0,14,3,0:30
18,4,Touchdown,5,61,9,4:29
