drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
24,4282,0,03:42,Timeout #1 by STL at 03:42.,0,4,7,,0,,TIMEOUT
24,4164,1,04:41,(4:41) (Shotgun) L.McCoy up the middle to PHI 23 for 3 yards (A.Ogletree; T.McDonald).,10,4,3,PHI 20,0,PHI,
24,4299,3,03:42,(3:42) (Shotgun) D.Sproles right tackle to STL 48 for 25 yards (R.McLeod).,3,4,32,PHI 27,0,PHI,
24,4148,0,04:41,"G.Zuerlein kicks 65 yards from STL 35 to end zone, Touchback.",0,4,0,STL 35,0,STL,KICKOFF
24,4362,0,02:06,Timeout #2 by STL at 02:06.,0,4,36,,0,,TIMEOUT
24,4196,0,03:54,Timeout #1 by PHI at 03:54.,0,4,3,,0,,TIMEOUT
24,4320,1,02:54,"(2:54) (No Huddle, Shotgun) D.Sproles up the middle to STL 46 for 2 yards (J.Laurinaitis).",10,4,34,STL 48,0,PHI,
24,4400,0,02:00,Two-Minute Warning,0,4,35,,0,,
24,4417,4,01:58,"(1:58) D.Jones punts 38 yards to STL 7, Center-J.Dorenbos, downed by PHI-J.Casey.",7,4,35,STL 45,0,PHI,PUNT
24,4379,3,02:06,(2:06) (Shotgun) D.Sproles left tackle to STL 45 for -1 yards (T.McDonald).,6,4,35,STL 44,0,PHI,
24,4341,2,02:12,(2:12) (Shotgun) D.Sproles up the middle to STL 44 for 2 yards (A.Ogletree).,8,4,36,STL 46,0,PHI,
24,4231,2,03:54,(3:54) L.McCoy up the middle to PHI 27 for 4 yards (T.McDonald).,7,4,7,PHI 23,0,PHI,
25,4528,4,00:42,"(:42) (Shotgun) PENALTY on STL, Delay of Game, 5 yards, enforced at PHI 48 - No Play.",8,4,40,PHI 48,0,STL,PENALTY
25,4484,2,00:53,"(:53) (No Huddle, Shotgun) A.Davis pass incomplete deep right to A.Pettis.",8,4,45,PHI 48,0,STL,
25,4506,3,00:48,(:48) (Shotgun) A.Davis pass incomplete deep left to A.Pettis (B.Boykin).,8,4,45,PHI 48,0,STL,
25,4436,1,01:47,(1:47) (Shotgun) A.Davis pass deep right to B.Quick to 50 for 43 yards (B.Fletcher).,10,4,43,STL 7,0,STL,
25,4460,1,01:19,"(1:19) (No Huddle, Shotgun) A.Davis pass short left to B.Cunningham to PHI 48 for 2 yards (N.Carroll).",10,4,45,50,0,STL,
25,4551,4,00:42,(:42) (Shotgun) A.Davis pass incomplete deep middle to B.Quick.,13,4,40,STL 47,0,STL,
26,4573,1,00:37,(:37) N.Foles kneels to STL 48 for -1 yards.,10,4,-1,STL 47,0,PHI,
26,4594,0,00:00,END GAME,0,4,-1,,0,,
20,3474,1,14:26,"(14:26) (No Huddle, Shotgun) L.McCoy up the middle to PHI 35 for 2 yards (J.Laurinaitis).",10,4,15,PHI 33,0,PHI,
20,3416,1,00:03,(:03) (Shotgun) L.McCoy up the middle to PHI 28 for 8 yards (E.Gaines).,10,3,8,PHI 20,0,PHI,
20,3591,3,12:14,"(12:14) (No Huddle, Shotgun) N.Foles scrambles right end to STL 38 for 14 yards. FUMBLES, RECOVERED by STL-M.Brockers at STL 38. M.Brockers to STL 38 for no gain (Z.Ertz).",5,4,42,PHI 48,0,PHI,FUMBLE
20,3453,2,15:00,(15:00) (Shotgun) L.McCoy left tackle to PHI 33 for 5 yards (E.Westbrooks).,2,4,13,PHI 28,0,PHI,
20,3495,2,13:53,"(13:53) (No Huddle, Shotgun) D.Sproles left guard to PHI 38 for 3 yards (T.McDonald).",8,4,18,PHI 35,0,PHI,
20,3516,3,13:23,"(13:23) (No Huddle, Shotgun) N.Foles pass incomplete deep right to J.Huff. PENALTY on STL-J.Jenkins, Illegal Contact, 5 yards, enforced at PHI 38 - No Play.",5,4,23,PHI 38,0,PHI,PENALTY
20,3437,0,,END QUARTER 3,0,3,8,,0,,
20,3401,0,00:03,"G.Zuerlein kicks 65 yards from STL 35 to end zone, Touchback.",0,3,0,STL 35,0,STL,KICKOFF
20,3570,2,12:45,"(12:45) (No Huddle, Shotgun) L.McCoy up the middle to PHI 48 for -2 yards (T.McDonald).",3,4,28,50,0,PHI,
20,3549,1,13:18,"(13:18) (No Huddle, Shotgun) L.McCoy right guard to 50 for 7 yards (J.Dunbar).",10,4,30,PHI 43,0,PHI,
21,3758,1,10:15,"(10:15) (No Huddle, Shotgun) B.Cunningham right end to PHI 28 for 11 yards (V.Curry).",10,4,34,PHI 39,0,STL,
21,3666,3,11:16,(11:16) (Shotgun) A.Davis pass short left to J.Cook to 50 for 5 yards (N.Allen).,3,4,12,STL 45,0,STL,
21,3798,2,09:16,"(9:16) (No Huddle, Shotgun) A.Davis pass incomplete short left to K.Britt.",12,4,32,PHI 30,0,STL,
21,3712,2,10:47,(10:47) (Shotgun) A.Davis pass incomplete deep left to S.Bailey.,10,4,12,50,0,STL,
21,3690,1,10:52,"(10:52) (No Huddle, Shotgun) A.Davis pass incomplete short right to B.Cunningham (B.Bair).",10,4,12,50,0,STL,
21,3623,1,12:03,(12:03) (Shotgun) A.Davis pass incomplete short left to A.Pettis.,10,4,0,STL 38,0,STL,
21,3820,3,09:10,"(9:10) (Shotgun) A.Davis pass deep right to K.Britt for 30 yards, TOUCHDOWN.",12,4,62,PHI 30,1,STL,TD
21,3840,0,09:02,"G.Zuerlein extra point is GOOD, Center-J.McQuaide, Holder-J.Hekker.",0,4,62,PHI 2,1,STL,XP
21,3645,2,11:57,(11:57) (Shotgun) A.Davis scrambles up the middle to STL 45 for 7 yards (V.Curry).,10,4,7,STL 38,0,STL,
21,3734,3,10:41,(10:41) (Shotgun) A.Davis pass short left to T.Austin to PHI 39 for 11 yards (C.Matthews).,10,4,23,50,0,STL,
21,3779,1,09:52,"(9:52) (No Huddle, Shotgun) A.Davis sacked at PHI 30 for -2 yards (C.Barwin).",10,4,32,PHI 28,0,STL,
22,3878,1,08:58,(8:58) (Shotgun) N.Foles pass short left to R.Cooper ran ob at PHI 43 for 14 yards.,10,4,14,PHI 29,0,PHI,
22,3966,4,07:03,"(7:03) D.Jones punts 30 yards to STL 25, Center-J.Dorenbos, out of bounds.",8,4,16,PHI 45,0,PHI,PUNT
22,3902,1,08:29,"(8:29) (No Huddle, Shotgun) L.McCoy left end to PHI 45 for 2 yards (J.Dunbar).",10,4,16,PHI 43,0,PHI,
22,3923,2,07:50,"(7:50) (No Huddle, Shotgun) L.McCoy right tackle to PHI 45 for no gain (E.Westbrooks).",8,4,16,PHI 45,0,PHI,
22,3944,3,07:11,"(7:11) (No Huddle, Shotgun) N.Foles pass incomplete short left to J.Matthews (L.Joyner).",8,4,16,PHI 45,0,PHI,
22,3856,0,09:02,G.Zuerlein kicks 51 yards from STL 35 to PHI 14. D.Sproles to PHI 29 for 15 yards (C.Reynolds).,0,4,0,STL 35,0,STL,KICKOFF
23,4056,2,05:13,(5:13) (Shotgun) A.Davis pass right to B.Cunningham to PHI 21 for 10 yards (C.Williams).,2,4,75,PHI 31,0,STL,
23,4248,2,04:50,(4:50) A.Davis pass to T.Watts to PHI 5 for 11 yards.,5,4,75,PHI 16,0,STL,
23,4081,1,04:44,"(4:44) A.Davis pass short left to B.Quick for 5 yards, TOUCHDOWN.",5,4,75,PHI 5,1,STL,TD
23,4074,1,06:01,"(6:01) A.Davis pass incomplete. PENALTY on PHI-B.Fletcher, Defensive Pass Interference, 24 yards, enforced at STL 37 - No Play.",10,4,75,STL 37,0,STL,PENALTY
23,4004,1,06:48,(6:48) A.Davis pass short middle to B.Cunningham to STL 37 for 12 yards.,10,4,75,STL 25,0,STL,
23,4032,1,05:39,(5:39) A.Davis pass left to A.Pettis to PHI 31 for 8 yards (B.Boykin).,10,4,75,PHI 39,0,STL,
23,4111,0,04:41,"G.Zuerlein extra point is GOOD, Center-J.McQuaide, Holder-J.Hekker.",0,4,75,PHI 2,1,STL,XP
23,4207,1,04:59,(4:59) A.Davis pass to A.Pettis to PHI 16 for 5 yards (C.Maragos).,10,4,75,PHI 21,0,STL,
1,94,3,14:49,(14:49) (Shotgun) A.Davis pass incomplete short right to K.Britt (C.Williams).,10,1,0,STL 20,0,STL,
1,116,4,14:44,"(14:44) J.Hekker punt is BLOCKED by J.Casey, Center-J.McQuaide, RECOVERED by PHI-C.Maragos at STL 10. C.Maragos for 10 yards, TOUCHDOWN.",10,1,0,STL 20,1,STL,TD
1,50,1,15:00,(15:00) A.Davis pass incomplete deep left to J.Cook.,10,1,0,STL 20,0,STL,
1,35,0,15:00,"C.Parkey kicks 65 yards from PHI 35 to end zone, Touchback.",0,1,0,PHI 35,0,PHI,KICKOFF
