drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
24,3759,0,01:12,"C.Sturgis extra point is GOOD, Center-J.Dorenbos, Holder-D.Jones.",0,4,15,CLE 15,1,PHI,XP
24,3689,2,02:00,(2:00) R.Mathews right tackle to CLE 1 for 1 yard (X.Cooper).,2,4,14,CLE 2,0,PHI,
24,3710,3,01:19,"(1:19) R.Mathews right end to CLE 1 for no gain (D.Davis). PENALTY on CLE-N.Orchard, Defensive Offside, 0 yards, enforced at CLE 1 - No Play.",1,4,14,CLE 1,0,PHI,PENALTY
24,3609,1,03:36,(3:36) (Shotgun) R.Mathews up the middle to CLE 9 for 6 yards (D.Davis).,10,4,15,CLE 15,0,PHI,
24,3742,3,01:16,"(1:16) R.Mathews left end for 1 yard, TOUCHDOWN.",1,4,15,CLE 1,1,PHI,TD
24,3630,2,02:54,(2:54) R.Mathews right end to CLE 3 for 6 yards (I.Campbell).,4,4,12,CLE 9,0,PHI,
24,3672,0,02:00,Two-Minute Warning,0,4,13,,0,,
24,3651,1,02:11,(2:11) R.Mathews right end to CLE 2 for 1 yard (D.Davis).,3,4,13,CLE 3,0,PHI,
25,3811,1,00:37,(:37) (Shotgun) I.Crowell up the middle to PHI 39 for 20 yards (J.Hicks).,10,4,36,CLE 41,0,CLE,
25,3832,1,00:07,(:07) (Shotgun) I.Crowell up the middle to PHI 35 for 4 yards (F.Cox).,10,4,40,PHI 39,0,CLE,
25,3790,1,01:12,(1:12) (Shotgun) I.Crowell up the middle to CLE 41 for 16 yards (R.McLeod).,10,4,16,CLE 25,0,CLE,
25,3775,0,01:12,"C.Sturgis kicks 65 yards from PHI 35 to end zone, Touchback.",0,4,0,PHI 35,0,PHI,KICKOFF
25,3853,0,00:00,END GAME,0,4,40,,0,,
20,3118,4,11:41,"(11:41) D.Jones punts 45 yards to end zone, Center-J.Dorenbos, Touchback.",8,4,2,CLE 45,0,PHI,PUNT
20,3073,2,12:43,(12:43) (Shotgun) C.Wentz scrambles left end ran ob at PHI 46 for 1 yard.,18,4,-7,PHI 45,0,PHI,
20,3052,1,13:24,(13:24) (Shotgun) R.Mathews left end to PHI 45 for 2 yards (C.Nassib).,20,4,-8,PHI 43,0,PHI,
20,3094,3,12:07,(12:07) (Shotgun) C.Wentz pass short right to D.Sproles to CLE 45 for 9 yards (C.Kirksey). CLE-J.Haden was injured during the play. His return is Probable.,17,4,2,PHI 46,0,PHI,
20,3020,1,13:49,"(13:49) (Shotgun) R.Mathews right end to CLE 35 for 12 yards (D.Davis). PENALTY on PHI-L.Johnson, Offensive Holding, 10 yards, enforced at CLE 47 - No Play.",10,4,-10,CLE 47,0,PHI,PENALTY
21,3180,3,10:48,(10:48) (Shotgun) D.Johnson up the middle to CLE 21 for 11 yards (R.McLeod).,20,4,1,CLE 10,0,CLE,
21,3139,1,11:33,(11:33) (Shotgun) R.Griffin pass incomplete short right to T.Pryor.,10,4,0,CLE 20,0,CLE,
21,3201,4,10:08,"(10:08) B.Colquitt punts 58 yards to PHI 21, Center-C.Hughlett. D.Sproles to PHI 29 for 8 yards (I.Crowell).",9,4,1,CLE 21,0,CLE,PUNT
21,3161,2,11:30,(11:30) R.Griffin sacked at CLE 10 for -10 yards (C.Barwin).,10,4,-10,CLE 20,0,CLE,
22,3466,3,04:40,(4:40) (Shotgun) C.Wentz pass incomplete short middle to Z.Ertz (J.Schobert).,16,4,31,CLE 40,0,PHI,
22,3420,3,05:25,"(5:25) (Shotgun) PENALTY on PHI-C.Wentz, False Start, 5 yards, enforced at CLE 30 - No Play.",6,4,36,CLE 30,0,PHI,PENALTY
22,3379,0,06:08,Timeout #1 by PHI at 06:08.,0,4,34,,0,,TIMEOUT
22,3396,2,06:08,(6:08) C.Wentz pass short left to N.Agholor to CLE 30 for 7 yards (J.Taylor).,13,4,41,CLE 37,0,PHI,
22,3250,2,09:13,(9:13) R.Mathews left end to PHI 45 for 7 yards (C.Nassib).,1,4,16,PHI 38,0,PHI,
22,3226,1,09:57,(9:57) (Shotgun) C.Wentz pass short right to J.Matthews to PHI 38 for 9 yards (J.Haden).,10,4,9,PHI 29,0,PHI,
22,3443,3,05:04,"(5:04) (Shotgun) PENALTY on PHI-J.Peters, False Start, 5 yards, enforced at CLE 35 - No Play.",11,4,31,CLE 35,0,PHI,PENALTY
22,3496,4,04:35,"(4:35) D.Jones punts 32 yards to CLE 8, Center-J.Dorenbos, downed by PHI-B.Braman.",16,4,31,CLE 40,0,PHI,PUNT
22,3357,1,06:51,(6:51) D.Sproles right end to CLE 37 for -3 yards (J.Meder; D.Shelton).,10,4,34,CLE 34,0,PHI,
22,3271,1,08:28,(8:28) R.Mathews right end to 50 for 5 yards (X.Cooper).,10,4,21,PHI 45,0,PHI,
22,3314,3,07:36,(7:36) (Shotgun) C.Wentz pass short right to J.Matthews to CLE 34 for 16 yards (J.Haden).,5,4,37,50,0,PHI,
22,3292,2,07:42,"(7:42) (Shotgun) C.Wentz to PHI 45 for -5 yards. FUMBLES, and recovers at PHI 42. C.Wentz pass incomplete short right to J.Matthews (J.Haden).",5,4,31,50,0,PHI,FUMBLE
23,3544,2,03:53,(3:53) (Shotgun) R.Griffin pass incomplete short left to D.Johnson [B.Graham].,14,4,-4,CLE 4,0,CLE,
23,3566,3,03:49,(3:49) (Shotgun) R.Griffin scrambles right end to CLE 15 for 11 yards (J.Mills).,14,4,7,CLE 4,0,CLE,
23,3515,1,04:26,"(4:26) (Shotgun) R.Griffin sacked at CLE 3 for -5 yards (B.Graham). FUMBLES (B.Graham), and recovers at CLE 4.",10,4,-4,CLE 8,0,CLE,FUMBLE
23,3587,4,03:41,(3:41) (Shotgun) R.Griffin pass incomplete short left to A.Hawkins.,3,4,7,CLE 15,0,CLE,
1,146,2,13:16,(13:16) (Shotgun) C.Wentz pass short right to Z.Ertz to CLE 49 for 14 yards (J.Poyer).,10,1,26,PHI 37,0,PHI,
1,215,2,11:12,(11:12) C.Wentz pass short right to Z.Ertz ran ob at CLE 20 for 13 yards.,5,1,55,CLE 33,0,PHI,
1,59,1,15:00,(15:00) (Shotgun) R.Mathews up the middle to PHI 31 for 6 yards (J.Poyer).,10,1,6,PHI 25,0,PHI,
1,194,1,11:52,(11:52) (Shotgun) K.Barner up the middle to CLE 33 for 5 yards (D.Shelton).,10,1,42,CLE 38,0,PHI,
1,44,0,15:00,"P.Murray kicks 65 yards from CLE 35 to end zone, Touchback.",0,1,0,CLE 35,0,CLE,KICKOFF
1,244,1,10:39,(10:39) R.Mathews right end to CLE 19 for 1 yard (D.Shelton).,10,1,56,CLE 20,0,PHI,
1,124,1,13:21,(13:21) (Shotgun) C.Wentz pass incomplete short right to J.Matthews.,10,1,12,PHI 37,0,PHI,
1,265,2,09:56,"(9:56) (Shotgun) C.Wentz pass deep left to J.Matthews for 19 yards, TOUCHDOWN.",9,1,75,CLE 19,1,PHI,TD
1,80,2,14:24,(14:24) (Shotgun) K.Barner left end to PHI 32 for 1 yard (J.Meder; C.Kirksey).,4,1,7,PHI 31,0,PHI,
1,101,3,13:46,"(13:46) (Shotgun) PENALTY on CLE-X.Cooper, Neutral Zone Infraction, 5 yards, enforced at PHI 32 - No Play.",3,1,12,PHI 32,0,PHI,PENALTY
1,285,0,09:50,"C.Sturgis extra point is GOOD, Center-J.Dorenbos, Holder-D.Jones.",0,1,75,CLE 15,1,PHI,XP
1,170,1,12:32,(12:32) C.Wentz pass short left to B.Celek to CLE 38 for 11 yards (I.Campbell).,10,1,75,CLE 49,0,PHI,
3,412,1,08:31,(8:31) (Shotgun) R.Mathews up the middle to PHI 30 for 4 yards (E.Ogbah).,10,1,4,PHI 26,0,PHI,
3,554,3,06:30,(6:30) (Shotgun) C.Wentz pass incomplete short left to J.Huff (E.Ogbah).,12,1,7,PHI 33,0,PHI,
3,455,3,07:46,"(7:46) (Shotgun) C.Wentz pass incomplete deep right to J.Huff. PENALTY on CLE-T.Williams, Defensive Holding, 5 yards, enforced at PHI 30 - No Play.",6,1,9,PHI 30,0,PHI,PENALTY
3,576,4,06:25,"(6:25) D.Jones punts 67 yards to end zone, Center-J.Dorenbos, Touchback.",12,1,7,PHI 33,0,PHI,PUNT
3,531,3,06:53,"(6:53) (Shotgun) PENALTY on PHI-J.Peters, False Start, 5 yards, enforced at PHI 38 - No Play.",7,1,7,PHI 38,0,PHI,PENALTY
3,488,1,07:41,(7:41) (Shotgun) C.Wentz pass incomplete short right to J.Matthews.,10,1,9,PHI 35,0,PHI,
3,510,2,07:36,(7:36) R.Mathews up the middle to PHI 38 for 3 yards (D.Davis).,10,1,12,PHI 35,0,PHI,
3,433,2,07:54,(7:54) (Shotgun) C.Wentz pass incomplete short right to J.Huff [C.Nassib].,6,1,7,PHI 30,0,PHI,
2,301,0,09:50,"C.Sturgis kicks 65 yards from PHI 35 to end zone, Touchback.",0,1,0,PHI 35,0,PHI,KICKOFF
2,387,4,08:44,"(8:44) B.Colquitt punts 49 yards to PHI 21, Center-C.Hughlett. D.Sproles to PHI 26 for 5 yards (C.Hughlett).",5,1,5,CLE 30,0,CLE,PUNT
2,316,1,09:50,(9:50) R.Griffin pass incomplete short right to G.Barnidge.,10,1,0,CLE 25,0,CLE,
2,359,3,09:06,(9:06) (Shotgun) R.Griffin right end pushed ob at CLE 30 for 4 yards (J.Hicks).,9,1,5,CLE 26,0,CLE,
2,338,2,09:46,(9:46) I.Crowell up the middle to CLE 26 for 1 yard (F.Cox).,10,1,1,CLE 25,0,CLE,
5,775,3,01:32,(1:32) (Shotgun) C.Wentz sacked at CLE 28 for -4 yards (C.Kirksey).,4,1,14,CLE 24,0,PHI,
5,691,1,04:16,(4:16) (Shotgun) R.Mathews right end to CLE 35 for 7 yards (X.Cooper).,10,1,7,CLE 42,0,PHI,
5,754,2,02:17,(2:17) (Shotgun) D.Sproles right end to CLE 24 for 2 yards (D.Kindred).,6,1,18,CLE 26,0,PHI,
5,712,2,03:37,(3:37) (Shotgun) R.Mathews up the middle to CLE 30 for 5 yards (D.Davis).,3,1,12,CLE 35,0,PHI,
5,733,1,02:54,(2:54) R.Mathews right end to CLE 26 for 4 yards (C.Kirksey).,10,1,16,CLE 30,0,PHI,
5,794,4,00:51,"(:51) C.Sturgis 46 yard field goal is No Good, Wide Right, Center-J.Dorenbos, Holder-D.Jones.",8,1,14,CLE 28,0,PHI,FGM
4,638,3,05:06,(5:06) (Shotgun) R.Griffin pass short right to D.Johnson to CLE 23 for no gain (N.Bradham; L.McKelvin).,7,1,3,CLE 23,0,CLE,
4,666,4,04:30,"(4:30) B.Colquitt punts 59 yards to PHI 18, Center-C.Hughlett. D.Sproles to CLE 42 for 40 yards (I.Campbell).",7,1,3,CLE 23,0,CLE,PUNT
4,593,1,06:15,(6:15) (Shotgun) I.Crowell right end ran ob at CLE 21 for 1 yard.,10,1,1,CLE 20,0,CLE,
4,614,2,05:44,(5:44) (Shotgun) R.Griffin pass short middle to I.Crowell to CLE 23 for 2 yards (J.Hicks).,9,1,3,CLE 21,0,CLE,
7,965,2,13:21,(13:21) R.Mathews right end to CLE 4 for 2 yards (I.Campbell).,6,2,31,CLE 6,0,PHI,
7,1018,4,12:33,"(12:33) C.Sturgis 22 yard field goal is GOOD, Center-J.Dorenbos, Holder-D.Jones.",4,2,31,CLE 4,1,PHI,FG
7,996,3,12:36,(12:36) (Shotgun) C.Wentz pass incomplete short right to J.Matthews.,4,2,31,CLE 4,0,PHI,
7,942,1,14:03,(14:03) (Shotgun) R.Mathews right end to CLE 6 for 1 yard (D.Davis; C.Kirksey).,7,2,31,CLE 7,0,PHI,
7,918,1,14:44,(14:44) C.Wentz pass short right to J.Matthews to CLE 7 for 28 yards (I.Campbell).,10,2,28,CLE 35,0,PHI,
6,838,2,00:09,(:09) (Shotgun) A.Hawkins left end to CLE 41 for -1 yards (R.McLeod).,4,1,5,CLE 42,0,CLE,
