drive,fds,result,penyds,ydsgained,numplays,postime
9,1,Interception,-5,11,7,1:33
24,0,Interception,0,-6,2,0:39
10,1,Field Goal,-5,22,8,2:42
20,0,Punt,0,3,5,1:14
6,1,Field Goal,0,16,5,1:43
18,2,Punt,0,12,7,1:38
25,0,End of Game,0,-1,2,0:23
1,3,Field Goal,0,46,11,4:15
5,0,Punt,0,6,4,2:06
13,2,Punt,0,25,8,3:03
21,1,Punt,0,22,7,3:26
23,1,Punt,0,14,12,1:25
11,4,Touchdown,0,80,10,4:24
14,0,Punt,-5,13,5,2:32
8,0,Punt,0,-8,4,2:02
19,1,Field Goal,0,9,8,3:30
22,1,Punt,0,11,7,2:58
12,1,End of Half,0,16,7,1:52
16,1,Fumble,5,12,4,1:54
7,0,Punt,0,7,5,1:01
3,0,Punt,0,8,4,2:22
17,0,Punt,0,7,4,1:34
4,2,Punt,0,23,10,4:22
2,0,Punt,0,-11,5,1:38
15,3,Missed FG,0,59,11,5:44
