drive,fds,result,penyds,ydsgained,numplays,postime
11,0,Punt,0,1,4,1:03
10,1,Punt,5,-5,7,2:11
13,3,Field Goal,0,39,12,5:01
12,1,Punt,0,20,7,3:33
15,0,Punt,-10,5,5,1:47
14,1,Punt,0,20,6,2:00
17,1,Punt,-10,18,9,2:16
16,4,Touchdown,-5,59,11,3:59
19,3,End of Game,-5,45,10,1:05
18,2,Punt,0,40,13,2:52
1,5,Field Goal,0,70,16,8:25
3,5,Field Goal,-10,62,17,7:58
2,1,Punt,0,15,8,2:28
5,4,Field Goal,15,53,14,5:34
4,3,Touchdown,0,75,6,1:33
7,0,End of Half,0,0,2,0:07
6,5,Touchdown,-20,95,17,3:55
9,3,Touchdown,0,35,8,3:27
8,0,Interception,0,1,3,0:46
