drive,fds,result,penyds,ydsgained,numplays,postime
24,1,Touchdown,0,80,5,1:26
4,0,Punt,0,-4,4,1:43
3,1,Interception,10,2,5,1:28
17,1,Touchdown,0,56,5,1:17
22,0,Punt,0,3,4,1:12
8,0,Punt,0,-1,5,1:39
14,1,Punt,5,-4,6,0:32
19,3,Touchdown,-10,90,8,2:18
12,6,Touchdown,7,77,14,4:54
9,3,Touchdown,0,80,6,2:24
5,5,Touchdown,5,78,9,4:02
1,0,Fumble,0,-9,2,0:12
27,3,End of Game,0,60,11,3:08
23,1,Field Goal,0,37,6,1:45
26,1,Punt,-15,28,8,4:20
13,1,Fumble,-9,31,5,0:53
21,4,Downs,33,45,13,4:48
2,0,Field Goal,0,8,4,1:30
16,4,Touchdown,0,80,11,3:38
15,0,End of Half,0,-1,2,0:34
11,5,Touchdown,5,63,12,4:00
20,1,Touchdown,0,73,4,0:27
25,0,Punt,-13,6,7,3:06
6,1,Punt,-5,26,7,2:55
18,1,Fumble,0,15,8,2:35
10,0,Punt,0,-11,5,1:34
7,0,Punt,0,1,4,1:40
