drive,fds,result,penyds,ydsgained,numplays,postime
20,1,Downs,30,0,7,0:39
21,0,End of Game,0,-1,2,0:35
1,3,Punt,0,40,13,5:32
3,7,Touchdown,0,86,15,4:19
2,2,Punt,-5,24,12,4:35
5,4,Field Goal,5,51,13,5:20
4,2,Field Goal,-5,50,13,5:28
7,0,Punt,0,6,5,0:51
6,2,Touchdown,0,80,7,1:27
9,0,Punt,0,2,5,0:27
8,1,Punt,0,25,8,1:03
11,0,End of Half,0,0,2,0:02
10,3,Field Goal,-10,40,9,0:56
13,0,Punt,0,3,5,2:19
12,3,Touchdown,0,69,11,4:07
15,5,Touchdown,-10,101,15,6:36
14,2,Fumble,0,57,7,4:19
17,2,Punt,0,44,8,3:36
16,3,Punt,0,41,12,4:39
19,4,Touchdown,0,70,10,1:58
18,0,Punt,-5,8,7,1:12
