drive,fds,result,penyds,ydsgained,numplays,postime
9,4,Field Goal,0,80,14,8:25
10,1,Fumble,0,11,5,2:05
20,3,Interception,-8,60,7,3:36
6,1,Punt,5,15,7,2:17
18,0,Punt,0,5,5,1:23
1,4,Field Goal,5,49,13,5:09
5,3,Touchdown,0,90,8,3:24
13,0,End of Half,0,-1,2,0:17
21,0,Punt,-5,4,7,1:13
23,0,End of Game,0,-3,4,1:54
11,0,Field Goal,-10,12,6,1:01
14,2,Punt,0,30,11,4:35
8,0,Punt,0,6,4,1:34
19,1,Punt,0,13,7,3:38
22,0,Downs,0,5,5,1:46
12,0,Punt,0,7,5,0:49
16,0,Punt,0,0,5,2:14
7,0,Punt,-5,3,6,1:51
3,0,Punt,0,6,5,1:29
17,3,Field Goal,15,30,14,5:25
4,0,Punt,0,2,4,0:52
2,1,Touchdown,0,81,4,0:47
15,4,Field Goal,20,65,10,4:16
