drive,fds,result,penyds,ydsgained,numplays,postime
9,1,Punt,-5,26,7,2:36
10,4,Touchdown,0,71,12,2:26
20,1,Touchdown,0,62,3,0:12
6,4,Field Goal,-10,95,15,7:08
18,3,Punt,0,55,13,6:41
1,1,Punt,0,14,7,2:47
5,2,Punt,0,31,10,4:22
13,2,Interception,-10,36,8,3:51
21,0,Downs,0,9,5,0:46
11,0,End of Half,0,-1,3,0:21
14,3,Touchdown,0,52,8,3:31
8,0,Field Goal,-10,11,5,2:43
19,5,Touchdown,0,97,12,3:18
22,0,End of Game,0,-1,2,0:04
12,4,Blocked FG,15,54,12,5:59
16,1,Missed FG,0,21,7,3:16
7,0,Interception,0,0,2,0:12
3,3,Touchdown,5,70,8,2:55
17,1,Punt,0,10,5,1:09
4,0,Punt,0,1,6,0:51
2,4,Field Goal,0,53,9,3:39
15,0,Punt,0,5,5,1:13
