drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
20,3629,3,07:27,(7:27) (Shotgun) R.Tannehill pass short right intended for K.Stills INTERCEPTED by J.Powers at MIA 41. J.Powers ran ob at MIA 41 for no gain.,10,4,17,MIA 31,0,MIA,INT
20,3561,2,08:09,"(8:09) (No Huddle, Shotgun) R.Tannehill pass short middle to J.Landry to MIA 31 for 13 yards (S.Wright).",6,4,17,MIA 18,0,MIA,
20,3607,2,07:31,(7:31) (Shotgun) R.Tannehill pass incomplete short left to J.Landry.,10,4,17,MIA 31,0,MIA,
20,3585,1,07:36,"(7:36) (No Huddle, Shotgun) R.Tannehill pass incomplete deep left to K.Stills (E.Weddle).",10,4,17,MIA 31,0,MIA,
20,3537,1,08:24,(8:24) (Shotgun) R.Tannehill pass short right to K.Drake pushed ob at MIA 18 for 4 yards (Z.Orr).,10,4,4,MIA 14,0,MIA,
21,3724,1,06:00,"(6:00) T.West right end for 9 yards, TOUCHDOWN.",9,4,41,MIA 9,1,BAL,TD
21,3703,2,06:36,(6:36) T.West up the middle to MIA 9 for 15 yards (M.Thomas; I.Abdul-Quddus).,10,4,32,MIA 24,0,BAL,
21,3681,1,06:41,(6:41) (Shotgun) R.Mallett pass incomplete deep middle to D.Waller.,10,4,17,MIA 24,0,BAL,
21,3660,1,07:21,(7:21) K.Dixon right guard to MIA 24 for 17 yards (M.Thomas).,10,4,17,MIA 41,0,BAL,
21,3741,0,05:55,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch. PENALTY on MIA-T.Fede, Defensive Holding, 5 yards, enforced between downs.",0,4,41,MIA 15,1,BAL,XP
22,3856,4,03:48,"(3:48) (Punt formation) M.Darr punts 43 yards to BAL 25, Center-J.Denney. D.Hester to BAL 29 for 4 yards (M.Hull).",3,4,7,MIA 32,0,MIA,PUNT
22,3769,0,05:55,"J.Tucker kicks 60 yards from BAL 40 to end zone, Touchback.",0,4,0,BAL 40,0,BAL,KICKOFF
22,3832,3,04:30,(4:30) (Shotgun) R.Tannehill pass short middle to J.Ajayi to MIA 32 for 3 yards (A.Levine; P.Onwuasor) [T.Suggs].,6,4,7,MIA 29,0,MIA,
22,3808,2,05:16,(5:16) (Shotgun) R.Tannehill pass short middle to J.Landry to MIA 29 for 3 yards (M.Elam).,9,4,4,MIA 26,0,MIA,
22,3784,1,05:55,(5:55) (Shotgun) R.Tannehill pass short left to J.Landry to MIA 26 for 1 yard (S.Wright).,10,4,1,MIA 25,0,MIA,
23,3923,3,02:08,(2:08) K.Dixon right guard to BAL 41 for 3 yards (M.Hull; N.Suh).,1,4,12,BAL 38,0,BAL,
23,3881,1,03:37,(3:37) K.Dixon left end to BAL 33 for 4 yards (M.Hull).,10,4,4,BAL 29,0,BAL,
23,3902,2,02:52,(2:52) K.Dixon left guard to BAL 38 for 5 yards (S.Paysinger; I.Abdul-Quddus).,6,4,9,BAL 33,0,BAL,
23,4003,3,00:40,(:40) R.Mallett kneels to BAL 38 for -1 yards.,12,4,9,BAL 39,0,BAL,
23,3944,0,02:00,Two-Minute Warning,0,4,12,,0,,
23,4024,0,00:00,END GAME,0,4,9,,0,,
23,3961,1,02:00,(2:00) R.Mallett kneels to BAL 40 for -1 yards.,10,4,11,BAL 41,0,BAL,
23,3982,2,01:20,(1:20) R.Mallett kneels to BAL 39 for -1 yards.,11,4,10,BAL 40,0,BAL,
1,151,1,12:21,(12:21) (No Huddle) J.Flacco pass short middle to M.Wallace to MIA 18 for 12 yards (T.Lippett; N.Hewitt) [N.Suh].,10,1,79,MIA 30,0,BAL,
1,58,1,14:56,(14:56) J.Flacco pass short middle to K.Aiken to BAL 33 for 12 yards (K.Alonso).,10,1,12,BAL 21,0,BAL,
1,197,2,11:39,(11:39) (No Huddle) J.Flacco pass short middle to D.Waller to MIA 3 for 15 yards (B.Rambo).,10,1,76,MIA 18,0,BAL,
1,36,0,15:00,A.Franks kicks 61 yards from MIA 35 to BAL 4. D.Hester to BAL 21 for 17 yards (M.Thomas).,0,1,0,MIA 35,0,MIA,KICKOFF
1,241,0,10:57,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",0,1,79,MIA 15,1,BAL,XP
1,127,1,13:09,"(13:09) (No Huddle, Shotgun) J.Flacco pass short middle to S.Smith to MIA 30 for 23 yards (B.Rambo).",10,1,49,BAL 47,0,BAL,
1,82,1,14:22,(14:22) (No Huddle) J.Flacco pass short right to D.Pitta to BAL 41 for 8 yards (K.Alonso).,10,1,20,BAL 33,0,BAL,
1,175,1,11:47,"(11:47) (No Huddle, Shotgun) J.Flacco pass incomplete short right to S.Smith (I.Abdul-Quddus).",10,1,61,MIA 18,0,BAL,
1,106,2,13:43,(13:43) (No Huddle) T.West up the middle to BAL 47 for 6 yards (K.Alonso).,2,1,26,BAL 41,0,BAL,
1,221,1,11:02,"(11:02) J.Flacco pass short right to T.West for 3 yards, TOUCHDOWN.",3,1,79,MIA 3,1,BAL,TD
3,604,1,04:09,(4:09) (No Huddle) J.Flacco pass short right to K.Aiken to MIA 13 for 11 yards (K.Alonso).,10,1,50,MIA 24,0,BAL,
3,559,4,05:16,(5:16) K.Dixon left end to MIA 44 for 10 yards (M.Thomas).,1,1,19,BAL 46,0,BAL,
3,580,1,04:44,(4:44) (No Huddle) J.Flacco pass short middle to N.Boyle to MIA 24 for 20 yards (I.Abdul-Quddus).,10,1,39,MIA 44,0,BAL,
3,628,1,03:30,(3:30) (Shotgun) J.Flacco pass incomplete short right.,10,1,50,MIA 13,0,BAL,
3,670,0,03:17,"J.Tucker extra point is GOOD, Center-M.Cox, Holder-S.Koch.",0,1,63,MIA 15,1,BAL,XP
3,446,1,06:54,(6:54) Ball is now placed on BAL 37-yard line because of change of possession. J.Flacco pass short middle to S.Smith to BAL 42 for 5 yards (B.McCain).,10,1,5,BAL 37,0,BAL,
3,535,3,05:59,(5:59) (Shotgun) J.Flacco pass short middle to D.Pitta to BAL 46 for 14 yards (S.Paysinger; K.Alonso).,15,1,63,BAL 32,0,BAL,
3,650,2,03:22,"(3:22) (Shotgun) J.Flacco pass short middle to D.Pitta for 13 yards, TOUCHDOWN.",10,1,63,MIA 13,1,BAL,TD
3,513,2,06:03,(6:03) (Shotgun) J.Flacco pass incomplete short middle to D.Pitta.,15,1,63,BAL 32,0,BAL,
3,478,2,06:30,"(6:30) (No Huddle) J.Flacco pass short left to D.Pitta to MIA 31 for 27 yards (B.Rambo). PENALTY on BAL-V.Ducasse, Offensive Holding, 10 yards, enforced at BAL 42 - No Play.",5,1,-5,BAL 42,0,BAL,PENALTY
2,338,2,09:06,(9:06) J.Ajayi left guard to BAL 36 for 19 yards (E.Weddle).,5,1,39,MIA 45,0,MIA,
2,317,1,09:41,(9:41) (Shotgun) J.Ajayi left guard to MIA 45 for 5 yards (E.Dumervil).,10,1,20,MIA 40,0,MIA,
2,293,2,10:21,(10:21) R.Tannehill pass short middle to D.Sims to MIA 40 for 15 yards (L.Webb).,10,1,15,MIA 25,0,MIA,
2,404,3,07:48,(7:48) (Shotgun) R.Tannehill pass incomplete short right to J.Landry (T.Young).,2,1,47,BAL 28,0,MIA,
2,272,1,10:57,(10:57) J.Ajayi right guard to MIA 25 for no gain (T.Jernigan).,10,1,0,MIA 25,0,MIA,
2,383,2,07:48,(7:48) J.Ajayi left guard to BAL 28 for 3 yards (B.Williams).,5,1,47,BAL 31,0,MIA,
2,257,0,10:57,"J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",0,1,0,BAL 35,0,BAL,KICKOFF
2,359,1,08:24,(8:24) (Shotgun) R.Tannehill pass short left to J.Landry to BAL 31 for 5 yards (J.Powers).,10,1,44,BAL 36,0,MIA,
2,426,4,06:59,"(6:59) (Field Goal formation) A.Franks 46 yard field goal is No Good, Wide Left, Center-J.Denney, Holder-M.Darr.",2,1,47,BAL 28,0,MIA,FGM
5,937,1,13:25,(13:25) J.Flacco pass deep right intended for M.Wallace INTERCEPTED by B.Maxwell at BAL 40. B.Maxwell to BAL 38 for 2 yards (M.Wallace).,10,2,0,BAL 20,0,BAL,INT
4,753,3,01:58,(1:58) (Shotgun) R.Tannehill pass short middle to D.Williams to MIA 26 for 6 yards (Z.Orr).,4,1,12,MIA 20,0,MIA,
4,777,1,01:17,(1:17) (Shotgun) R.Tannehill pass short left to K.Stills ran ob at MIA 38 for 12 yards.,10,1,24,MIA 26,0,MIA,
4,857,0,,END QUARTER 1,0,1,53,,0,,
4,708,1,03:14,(3:14) R.Tannehill pass short left to J.Ajayi pushed ob at MIA 20 for 6 yards (E.Weddle).,10,1,6,MIA 14,0,MIA,
4,894,2,14:20,(14:20) J.Ajayi left guard to BAL 28 for 6 yards (J.Smith).,11,2,58,BAL 34,0,MIA,
4,873,1,15:00,(15:00) (Shotgun) J.Landry left guard to BAL 34 for -1 yards (Z.Orr).,10,2,52,BAL 33,0,MIA,
4,732,2,02:42,(2:42) (Shotgun) J.Ajayi right guard to MIA 20 for no gain (Z.Orr).,4,1,6,MIA 20,0,MIA,
4,915,3,13:32,"(13:32) (Shotgun) R.Tannehill pass deep right intended for D.Parker INTERCEPTED by L.Webb at BAL -5. Touchback. The Replay Official reviewed the pass interception ruling, and the play was Upheld. The ruling on the field stands.",5,2,58,BAL 28,0,MIA,INT
4,836,1,00:17,(:17) (Shotgun) J.Ajayi right guard to BAL 33 for 14 yards (Z.Orr; T.Young).,10,1,53,BAL 47,0,MIA,
4,801,1,00:47,"(:47) (Shotgun) R.Tannehill pass short right to J.Landry to MIA 38 for no gain (Z.Orr). PENALTY on BAL-T.Jernigan, Taunting, 15 yards, enforced at MIA 38.",10,1,58,MIA 38,0,MIA,PENALTY
4,686,0,03:17,J.Tucker kicks 69 yards from BAL 35 to MIA -4. J.Grant to MIA 14 for 18 yards (P.Onwuasor).,0,1,0,BAL 35,0,BAL,KICKOFF
7,1326,0,06:25,Timeout #1 by BAL at 06:25.,0,2,45,,0,,TIMEOUT
7,1302,3,06:59,"(6:59) (No Huddle, Shotgun) J.Flacco pass short left to M.Wallace to MIA 43 for 4 yards (B.Maxwell).",6,2,45,MIA 47,0,BAL,
7,1080,1,11:07,(11:07) T.West right guard to BAL 13 for 1 yard (C.Wake; A.Branch).,10,2,1,BAL 12,0,BAL,
