drive,fds,result,penyds,ydsgained,numplays,postime
1,0,Punt,0,3,5,0:58
21,0,Punt,0,1,4,1:43
17,4,Field Goal,0,42,14,6:10
7,4,Field Goal,5,62,17,6:13
10,0,Interception,0,0,2,0:07
20,0,Punt,0,-2,4,1:13
4,0,Punt,0,9,4,1:56
6,1,Punt,0,16,6,2:33
13,2,End of Half,0,23,6,0:57
25,2,Field Goal,-10,42,10,4:19
14,0,Interception,0,0,2,0:08
11,1,Punt,0,16,7,2:18
5,0,Punt,0,4,4,1:34
28,2,Interception,0,30,5,0:35
26,0,Punt,0,4,5,1:00
27,1,Punt,0,6,10,2:07
22,0,Punt,0,2,5,0:59
9,4,Touchdown,0,49,10,3:56
29,0,End of Game,0,-2,3,1:07
19,4,Punt,0,42,13,2:41
12,3,Touchdown,0,80,10,2:32
18,2,Punt,0,32,9,3:47
8,3,Fumble,5,39,6,1:47
2,1,Punt,0,17,5,2:16
16,0,Punt,0,7,5,1:04
24,1,Touchdown,0,80,3,0:13
15,0,Interception,0,7,3,1:24
3,1,Punt,15,-1,7,2:53
23,0,Field Goal,0,7,4,1:30
