drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
20,3905,3,02:27,"(2:27) D.Freeman left tackle to DEN 29 for 7 yards (C.Harris Jr., T.Ward).",8,4,9,DEN 36,0,ATL,
20,3926,0,02:00,Two-Minute Warning,0,4,9,,0,,
20,3774,0,02:38,"(Onside Kick formation) B.McManus kicks onside 25 yards from DEN 35 to ATL 40. RECOVERED by DEN-C.Nelson. PENALTY on DEN-D.Watson, Offside on Free Kick, 5 yards, enforced at DEN 35 - No Play.",0,4,0,DEN 35,0,DEN,PENALTY
20,3807,0,02:37,(Onside Kick formation) B.McManus kicks onside 8 yards from DEN 30 to DEN 38. A.Hooper (didn't try to advance) to DEN 38 for no gain (B.McManus).,0,4,0,DEN 30,0,DEN,KICKOFF
20,3943,4,02:00,(2:00) M.Ryan pass incomplete short right to D.Freeman (V.Miller).,1,4,9,DEN 29,0,ATL,
20,3867,2,02:32,(2:32) D.Freeman left end to DEN 36 for -4 yards (S.Ray).,4,4,2,DEN 32,0,ATL,
20,3888,0,02:27,Timeout #3 by DEN at 02:27.,0,4,2,,0,,TIMEOUT
20,3829,1,02:36,(2:36) D.Freeman up the middle to DEN 32 for 6 yards (D.Wolfe).,10,4,6,DEN 38,0,ATL,
20,3850,0,02:32,Timeout #2 by DEN at 02:32.,0,4,6,,0,,TIMEOUT
21,4047,2,01:14,(1:14) (Shotgun) P.Lynch sacked at DEN 41 for -5 yards (G.Jarrett).,10,4,12,DEN 46,0,DEN,
21,4066,3,00:46,"(:46) (No Huddle, Shotgun) P.Lynch pass short middle to D.Booker to ATL 48 for 11 yards (K.Neal).",15,4,23,DEN 41,0,DEN,
21,4001,2,01:31,"(1:31) (No Huddle, Shotgun) P.Lynch pass short middle to D.Booker to DEN 46 for 9 yards (K.Neal).",2,4,17,DEN 37,0,DEN,
21,4125,1,00:19,"(:19) B.McManus 45 yard field goal is GOOD, Center-C.Kreiter, Holder-R.Dixon.",10,4,44,ATL 27,1,DEN,FG
21,3966,1,01:56,"(1:56) (Shotgun) P.Lynch pass short right to E.Sanders to DEN 37 for 8 yards (K.Neal). FUMBLES (K.Neal), and recovers at DEN 37. E.Sanders to DEN 37 for no gain (K.Neal).",10,4,8,DEN 29,0,DEN,FUMBLE
21,4025,1,01:14,(1:14) (No Huddle) P.Lynch spiked the ball to stop the clock.,10,4,17,DEN 46,0,DEN,
21,4090,4,00:25,"(:25) (No Huddle, Shotgun) P.Lynch pass short left to E.Sanders pushed ob at ATL 42 for 6 yards (R.Alford). PENALTY on ATL-R.Alford, Unnecessary Roughness, 15 yards, enforced at ATL 42.",4,4,44,ATL 48,0,DEN,PENALTY
22,4145,0,00:14,(Onside Kick formation) B.McManus kicks onside 9 yards from DEN 35 to DEN 44. L.Toilolo (didn't try to advance) to DEN 44 for no gain (C.Nelson).,0,4,0,DEN 35,0,DEN,KICKOFF
22,4167,1,00:13,(:13) M.Ryan kneels to DEN 45 for -1 yards.,10,4,-1,DEN 44,0,ATL,
22,4188,0,00:00,END GAME,0,4,-1,,0,,
1,142,1,13:58,(13:58) (Shotgun) M.Ryan pass short middle to T.Coleman to DEN 15 for 48 yards (D.Stewart).,10,1,60,ATL 37,0,ATL,
1,211,2,12:05,(12:05) (Shotgun) M.Ryan pass incomplete short right to D.Freeman.,2,1,73,DEN 2,0,ATL,
1,45,0,15:00,"B.McManus kicks 65 yards from DEN 35 to end zone, Touchback.",0,1,0,DEN 35,0,DEN,KICKOFF
1,190,1,12:47,(12:47) D.Freeman up the middle to DEN 2 for -1 yards (V.Miller; B.Winn).,1,1,73,DEN 1,0,ATL,
1,257,4,11:22,"(11:22) D.Freeman left guard for 1 yard, TOUCHDOWN.",1,1,75,DEN 1,1,ATL,TD
1,64,1,15:00,(15:00) D.Freeman left guard to ATL 28 for 3 yards (T.Davis; J.Crick).,10,1,3,ATL 25,0,ATL,
1,275,0,11:18,"M.Bryant extra point is GOOD, Center-J.Harris, Holder-M.Bosher.",0,1,75,DEN 15,1,ATL,XP
1,166,1,13:16,(13:16) (Shotgun) M.Ryan pass short left to D.Freeman to DEN 1 for 14 yards (D.Stewart; B.Marshall).,10,1,74,DEN 15,0,ATL,
1,233,3,12:00,(12:00) (Shotgun) M.Ryan pass short left to J.Tamme to DEN 1 for 1 yard (T.Davis).,2,1,74,DEN 2,0,ATL,
1,107,3,14:20,"(14:20) (Shotgun) M.Ryan pass short right to M.Sanu to ATL 37 for 9 yards (C.Harris Jr.). Penalty on DEN-S.Ray, Defensive Offside, declined.",7,1,12,ATL 28,0,ATL,
1,85,2,14:25,(14:25) M.Ryan pass incomplete short middle to J.Jones (A.Talib).,7,1,3,ATL 28,0,ATL,
3,638,0,05:10,Timeout #1 by ATL at 05:10.,0,1,31,,0,,TIMEOUT
3,582,2,06:12,(6:12) D.Freeman up the middle to DEN 31 for 2 yards (S.Barrett).,10,1,41,DEN 33,0,ATL,
3,679,4,04:28,"(4:28) M.Bryant 46 yard field goal is GOOD, Center-J.Harris, Holder-M.Bosher.",5,1,44,DEN 28,1,ATL,FG
3,603,3,05:30,"(5:30) (Shotgun) M.Ryan pass short right to J.Jones to DEN 12 for 19 yards (D.Stewart). PENALTY on ATL-J.Jones, Offensive Pass Interference, 10 yards, enforced at DEN 31 - No Play.",8,1,31,DEN 31,0,ATL,PENALTY
3,560,1,06:17,(6:17) M.Ryan pass incomplete short right to M.Sanu (A.Talib) [T.Davis].,10,1,39,DEN 33,0,ATL,
3,473,1,08:46,(8:46) T.Coleman right guard to ATL 31 for 3 yards (J.Crick).,10,1,3,ATL 28,0,ATL,
3,655,3,05:10,(5:10) (Shotgun) M.Ryan pass short middle to D.Freeman to DEN 28 for 13 yards (T.Ward).,18,1,44,DEN 41,0,ATL,
3,494,2,08:12,(8:12) T.Coleman right tackle to ATL 39 for 8 yards (B.Marshall).,7,1,11,ATL 31,0,ATL,
3,515,1,07:31,(7:31) M.Ryan pass short left to P.DiMarco to DEN 48 for 13 yards (T.Davis).,10,1,24,ATL 39,0,ATL,
3,539,1,06:55,(6:55) D.Freeman up the middle to DEN 33 for 15 yards (C.Harris Jr.; T.Ward).,10,1,39,DEN 48,0,ATL,
2,306,1,11:18,(11:18) C.Anderson left guard to DEN 26 for 1 yard (B.Reed).,10,1,1,DEN 25,0,DEN,
