drive,fds,result,penyds,ydsgained,numplays,postime
4,2,Punt,0,34,7,3:01
8,0,End of Half,0,7,3,0:19
1,3,Punt,0,33,11,6:16
9,1,Punt,-10,39,7,3:21
11,3,Touchdown,0,75,6,2:16
5,3,Field Goal,-10,84,13,6:58
6,0,Punt,5,1,6,1:51
7,6,Touchdown,33,48,15,2:07
16,3,Downs,-20,51,18,3:04
15,5,Touchdown,28,48,10,3:50
3,1,Punt,-10,24,8,2:11
12,4,Interception,23,43,14,5:43
17,0,End of Game,0,-1,2,0:13
2,4,Field Goal,-5,65,16,7:17
10,3,Field Goal,5,39,11,6:04
13,3,Punt,5,24,11,4:34
14,0,Interception,0,5,3,0:55
