drive,fds,result,penyds,ydsgained,numplays,postime
9,2,Missed FG,-15,54,12,4:38
10,3,Touchdown,-5,64,11,1:43
20,2,Punt,-5,32,8,3:22
6,5,Touchdown,16,64,16,5:47
18,0,Interception,0,0,1,0:08
1,0,Interception,0,0,2,0:10
5,5,Touchdown,0,71,11,5:51
13,5,Touchdown,-12,82,14,5:45
21,0,Punt,0,8,4,1:44
11,1,End of Half,0,27,7,0:18
14,0,Punt,0,1,5,1:27
8,0,Punt,0,2,4,1:52
19,0,Punt,0,0,5,0:31
22,3,Field Goal,0,38,13,3:53
12,4,Touchdown,0,80,11,4:18
16,0,Punt,0,1,5,1:40
7,2,Downs,0,57,8,3:53
3,0,Punt,-5,11,6,1:29
17,1,Punt,-5,12,9,3:26
4,1,Punt,-10,29,8,4:14
2,1,Touchdown,0,14,2,0:05
15,5,Touchdown,10,65,14,3:46
