drive,fds,result,penyds,ydsgained,numplays,postime
9,0,Punt,0,2,6,0:53
10,3,Touchdown,0,83,4,0:53
20,0,Punt,0,-4,4,2:23
6,3,Touchdown,0,35,12,5:21
18,0,Punt,0,-3,4,2:10
1,0,Punt,-5,7,6,1:58
5,1,Punt,0,16,7,3:26
13,0,Punt,0,2,5,1:31
21,6,Touchdown,1,62,18,4:36
11,1,End of Half,0,18,8,0:47
14,6,Touchdown,9,74,13,6:20
8,7,Touchdown,4,84,14,7:28
19,0,Punt,0,3,4,1:02
22,1,End of Game,0,12,5,1:54
12,4,Field Goal,0,52,11,3:32
16,0,Punt,0,1,5,1:58
7,4,Interception,10,49,12,4:55
3,0,Missed FG,0,0,4,1:16
17,3,Downs,20,25,12,2:06
4,1,Punt,-10,24,6,2:22
2,0,Fumble,0,-8,2,0:41
15,1,Punt,0,17,7,2:28
