drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
9,1547,1,04:07,,10,2,30,WAS 49,0,WAS,
9,1571,2,03:27,,6,2,40,TB 47,0,WAS,FUMBLE
9,1481,3,06:12,,1,2,10,WAS 32,0,WAS,
9,1526,2,04:40,,2,2,26,WAS 41,0,WAS,
9,1460,2,06:52,,6,2,9,WAS 27,0,WAS,
9,1439,1,07:32,,10,2,4,WAS 23,0,WAS,
9,1417,0,07:39,,0,2,0,TB 35,0,TB,KICKOFF
9,1502,1,05:21,,10,2,18,WAS 33,0,WAS,
18,3307,3,10:12,,24,4,19,WAS 31,0,WAS,FUMBLE
18,3283,2,10:44,,21,4,19,WAS 34,0,WAS,
18,3107,0,14:07,,0,4,0,TB 35,0,TB,KICKOFF
18,3196,3,12:45,,13,4,18,WAS 28,0,WAS,
18,3155,1,13:29,,10,4,9,WAS 31,0,WAS,
18,3350,4,09:36,,17,4,19,WAS 38,0,WAS,PUNT
18,3220,4,12:07,,4,4,26,WAS 37,0,WAS,
18,3131,1,14:01,,10,4,12,WAS 19,0,WAS,
18,3174,2,12:49,,13,4,9,WAS 28,0,WAS,
18,3241,1,11:35,,10,4,20,WAS 45,0,WAS,
18,3260,2,11:00,,16,4,15,WAS 39,0,WAS,PENALTY
6,856,2,03:12,,1,1,11,WAS 21,0,WAS,
6,1044,4,13:46,,10,2,43,TB 45,0,WAS,FUMBLE
6,791,0,03:56,,0,1,0,TB 35,0,TB,KICKOFF
6,925,2,01:29,,4,1,33,WAS 44,0,WAS,
6,1004,2,15:00,,8,2,49,TB 43,0,WAS,
6,967,1,00:09,,10,1,43,TB 45,0,WAS,
6,877,1,02:40,,10,1,26,WAS 23,0,WAS,
6,1025,3,14:24,,4,2,43,TB 39,0,WAS,
6,988,0,,,0,1,45,,0,,
6,946,3,00:53,,3,1,43,WAS 45,0,WAS,
6,901,1,02:09,,10,1,32,WAS 38,0,WAS,
6,835,1,03:50,,10,1,9,WAS 12,0,WAS,
14,2404,2,09:43,,10,3,24,WAS 46,0,WAS,
14,2425,3,09:02,,10,3,29,WAS 46,0,WAS,PENALTY
14,2335,1,10:45,,10,3,19,WAS 35,0,WAS,
14,2492,1,08:31,,10,3,44,TB 34,0,WAS,
14,2537,3,07:42,,2,3,46,TB 26,0,WAS,
14,2556,4,06:55,,8,3,46,TB 32,0,WAS,FGM
14,2361,2,10:22,,4,3,24,WAS 41,0,WAS,
14,2382,1,10:22,,10,3,24,WAS 46,0,WAS,
14,2459,3,08:38,,5,3,44,TB 49,0,WAS,PENALTY
14,2513,2,07:54,,10,3,46,TB 34,0,WAS,
14,2311,2,11:15,,7,3,13,WAS 25,0,WAS,
14,2290,1,11:51,,10,3,3,WAS 22,0,WAS,
7,1197,2,11:42,,10,2,-3,TB 10,0,WAS,
7,1144,1,12:43,,6,2,6,TB 6,0,WAS,PENALTY
7,1077,1,13:31,,10,2,-8,TB 17,0,WAS,PENALTY
7,1216,3,10:58,,20,2,-12,TB 20,0,WAS,
7,1176,1,12:23,,11,2,7,TB 11,0,WAS,
7,1112,1,13:07,,18,2,-12,TB 25,0,WAS,PENALTY
7,1235,4,10:20,,29,2,-12,TB 29,0,WAS,FGM
8,1354,2,07:58,,8,2,43,WAS 20,0,TB,
8,1333,1,08:42,,10,2,43,WAS 22,0,TB,
8,1398,4,07:44,,8,2,43,WAS 20,1,TB,FG
8,1309,2,09:28,,20,2,41,TB 27,0,TB,
8,1255,1,10:14,,10,2,-10,TB 37,0,TB,PENALTY
8,1288,1,10:08,,20,2,-10,TB 27,0,TB,
8,1376,3,07:52,,8,2,43,WAS 20,0,TB,
10,1780,3,01:22,,11,2,19,WAS 44,0,TB,
10,1756,2,02:00,,15,2,19,WAS 48,0,TB,
10,1716,0,02:00,,0,2,20,,0,,
10,1802,4,01:15,,11,2,14,WAS 44,0,TB,PENALTY
10,1695,1,02:04,,10,2,20,WAS 43,0,TB,
10,1833,4,01:15,,16,2,14,WAS 49,0,TB,PUNT
10,1650,1,03:13,,10,2,2,TB 37,0,TB,
10,1671,2,02:30,,8,2,20,TB 39,0,TB,
10,1733,2,02:00,,10,2,15,WAS 43,0,TB,PENALTY
19,3393,2,08:49,,11,4,-1,TB 21,0,TB,
19,3415,3,08:44,,11,4,16,TB 21,0,TB,PENALTY
19,3600,0,03:54,,0,4,33,,0,,TIMEOUT
19,3526,2,06:15,,12,4,38,WAS 42,0,TB,
19,3625,4,03:54,,15,4,33,WAS 45,0,TB,PUNT
19,3372,1,09:28,,10,4,-1,TB 22,0,TB,
19,3483,2,07:39,,6,4,38,TB 42,0,TB,
19,3507,1,06:56,,10,4,36,WAS 40,0,TB,
19,3579,3,04:44,,20,4,33,50,0,TB,
19,3547,3,05:30,,10,4,28,WAS 40,0,TB,PENALTY
19,3462,1,08:20,,10,4,20,TB 38,0,TB,
12,2018,0,00:11,,0,2,0,WAS 35,0,WAS,KICKOFF
12,2040,1,00:05,,10,2,0,TB 31,0,TB,
12,2061,0,,,0,2,0,,0,,
16,2700,1,04:32,,10,3,5,WAS 25,0,WAS,
16,2864,4,02:05,,8,3,20,WAS 45,0,WAS,PUNT
16,2743,3,03:56,,5,3,18,WAS 30,0,WAS,
16,2678,0,04:36,,0,3,0,TB 35,0,TB,KICKOFF
16,2767,1,03:14,,10,3,20,WAS 43,0,WAS,
16,2843,3,02:30,,13,3,20,WAS 40,0,WAS,
16,2721,2,04:01,,5,3,20,WAS 30,0,WAS,FUMBLE
16,2820,3,02:30,,8,3,15,WAS 45,0,WAS,PENALTY
16,2798,2,02:39,,8,3,20,WAS 45,0,WAS,
11,2002,0,00:11,,0,2,79,TB 2,1,WAS,XP
11,1982,2,00:19,,6,2,79,TB 30,1,WAS,TD
11,1965,0,00:19,,0,2,49,,0,,TIMEOUT
11,1941,1,00:25,,10,2,49,TB 34,0,WAS,
11,1917,1,00:34,,10,2,45,WAS 42,0,WAS,
11,1900,0,00:34,,0,2,21,,0,,TIMEOUT
11,1879,2,00:43,,8,2,21,WAS 23,0,WAS,
11,1858,1,01:06,,10,2,2,WAS 21,0,WAS,
3,342,1,11:05,,10,1,-5,WAS 23,0,WAS,PENALTY
3,295,0,11:10,,0,1,0,TB 35,0,TB,KICKOFF
3,365,1,11:05,,15,1,-5,WAS 18,0,WAS,
3,434,1,09:21,,10,1,25,WAS 40,0,WAS,
3,386,2,10:29,,15,1,5,WAS 18,0,WAS,
3,499,4,08:49,,2,1,25,WAS 48,0,WAS,PUNT
3,455,2,09:00,,2,1,25,WAS 48,0,WAS,
3,410,3,09:55,,5,1,17,WAS 28,0,WAS,
3,477,3,08:53,,2,1,25,WAS 48,0,WAS,
17,3004,1,15:00,,10,4,80,50,0,TB,PENALTY
17,3071,2,14:13,,16,4,80,TB 44,1,TB,TD
17,2896,1,01:55,,10,3,-4,TB 20,0,TB,
17,2964,3,00:07,,14,3,30,TB 16,0,TB,
17,3091,0,14:07,,0,4,80,WAS 2,1,TB,XP
17,2917,2,01:55,,14,3,-9,TB 16,0,TB,PENALTY
17,3036,1,14:35,,25,4,80,TB 35,0,TB,
17,2940,2,00:48,,19,3,-4,TB 11,0,TB,
17,2988,0,,,0,3,30,,0,,
4,616,2,06:17,,12,1,32,TB 45,0,TB,
4,662,4,05:31,,5,1,32,WAS 48,0,TB,PUNT
4,553,2,08:08,,6,1,15,TB 24,0,TB,
4,640,3,05:36,,5,1,32,WAS 48,0,TB,
4,595,1,06:54,,10,1,25,TB 47,0,TB,
4,532,1,08:41,,10,1,4,TB 20,0,TB,
4,574,1,07:30,,10,1,27,TB 35,0,TB,
2,276,4,11:15,,10,1,15,WAS 14,1,TB,FG
2,125,2,14:16,,11,1,-1,WAS 30,0,TB,
2,182,3,13:50,,11,1,15,WAS 30,0,TB,
2,206,1,13:24,,10,1,17,WAS 14,0,TB,
2,248,3,11:58,,5,1,15,WAS 9,0,TB,FUMBLE
2,104,1,14:51,,10,1,-1,WAS 29,0,TB,
2,227,2,12:44,,8,1,20,WAS 12,0,TB,
2,147,3,14:10,,11,1,-1,WAS 30,0,TB,
1,54,0,15:00,,0,1,0,TB 35,0,TB,KICKOFF
1,73,1,15:00,,10,1,0,WAS 20,0,WAS,INT
5,753,3,04:04,,6,1,4,WAS 8,1,WAS,TD
5,685,1,05:21,,10,1,-2,WAS 4,0,WAS,PENALTY
5,708,1,05:21,,12,1,2,WAS 2,0,WAS,
5,732,2,04:42,,8,1,4,WAS 6,0,WAS,
13,2235,3,12:07,,4,3,17,TB 32,0,TB,
13,2139,2,14:10,,1,3,11,TB 24,0,TB,
13,2257,4,12:01,,4,3,17,TB 32,0,TB,FUMBLE
13,2115,1,14:52,,10,3,9,TB 15,0,TB,
13,2182,1,13:36,,10,3,15,TB 26,0,TB,
13,2077,0,15:00,,0,3,0,WAS 35,0,WAS,KICKOFF
13,2211,2,12:53,,6,3,17,TB 30,0,TB,
13,2161,3,14:04,,1,3,17,TB 24,0,TB,
15,2662,0,04:36,,0,3,60,WAS 2,1,TB,XP
15,2621,1,05:26,,10,3,24,WAS 38,0,TB,
15,2576,1,06:51,,10,3,1,TB 40,0,TB,
15,2597,2,06:11,,9,3,24,TB 41,0,TB,
15,2642,2,04:44,,8,3,60,WAS 36,1,TB,TD
20,3798,2,01:56,,8,4,47,WAS 47,0,WAS,
20,3854,3,01:22,,10,4,45,WAS 45,0,WAS,
20,3781,0,01:57,,0,4,42,,0,,
20,3911,1,00:50,,10,4,57,TB 35,0,WAS,
20,3708,1,02:49,,10,4,42,WAS 33,0,WAS,
20,3644,1,03:45,,10,4,57,WAS 5,0,WAS,
20,3932,0,00:00,,0,4,57,,0,,
20,3665,1,03:28,,10,4,42,WAS 19,0,WAS,
20,3736,2,02:26,,6,4,42,WAS 37,0,WAS,
20,3760,1,02:03,,10,4,42,WAS 45,0,WAS,
20,3822,3,01:34,,3,4,60,TB 48,0,WAS,PENALTY
20,3878,4,00:55,,5,4,60,50,0,WAS,PENALTY
20,3687,2,03:13,,10,4,42,WAS 19,0,WAS,
