drive,fds,result,penyds,ydsgained,numplays,postime
24,0,End of Game,0,-2,4,1:21
20,0,Punt,-10,12,5,2:22
21,2,Interception,0,24,3,0:24
22,1,Touchdown,-5,46,7,0:16
23,5,Touchdown,-15,95,17,2:52
1,0,Punt,-5,1,6,2:30
3,0,Punt,0,9,4,2:12
2,0,Punt,0,9,5,0:50
5,5,Field Goal,0,79,12,6:04
4,1,Punt,11,6,6,1:45
7,2,Punt,-5,32,10,4:56
6,0,Punt,0,0,5,1:20
9,0,Punt,-10,13,6,2:03
8,0,Punt,0,2,4,1:13
11,8,Field Goal,20,59,25,5:24
10,0,Punt,-10,4,5,1:43
13,0,Punt,0,0,5,0:22
12,1,Blocked Punt,0,12,6,2:25
15,5,Interception,21,37,12,4:20
14,1,Fumble,-10,39,6,2:29
17,3,Field Goal,15,37,9,2:16
16,1,Punt,-5,24,7,3:51
19,0,Fumble,0,-2,1,0:00
18,3,Fumble,-10,47,12,7:02
