drive,fds,result,penyds,ydsgained,numplays,postime
9,0,Punt,0,5,5,1:03
24,2,Field Goal,0,52,9,2:00
10,1,Punt,-15,29,8,2:53
20,0,Punt,-7,8,5,1:37
6,0,Punt,0,-1,4,1:02
27,0,End of Game,0,-3,4,0:49
18,0,Punt,0,-5,4,1:51
26,5,Field Goal,2,74,15,2:07
25,3,Field Goal,-10,59,17,4:38
1,2,Interception,0,82,9,4:16
5,0,Punt,-7,10,5,1:56
13,0,Field Goal,0,8,6,0:19
21,1,Interception,0,35,2,0:57
23,3,Field Goal,0,47,12,5:22
11,4,Field Goal,15,54,14,6:43
14,1,Fumble,-10,36,9,1:08
8,0,Field Goal,0,-2,5,1:17
19,0,Punt,0,-4,4,1:34
22,1,Field Goal,0,26,6,2:50
12,2,Fumble,0,37,8,2:36
16,0,Punt,0,9,5,2:15
7,0,Punt,0,-5,4,2:02
3,1,Touchdown,0,27,2,0:07
17,1,Punt,-10,36,8,4:00
4,0,Punt,5,3,6,1:49
2,2,Fumble,0,8,6,2:36
15,0,Missed FG,0,0,3,0:13
