drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
9,2063,4,01:46,,1,2,46,IND 36,0,NE,
9,2236,1,00:12,,7,2,63,IND 7,0,NE,PENALTY
9,2267,1,00:06,,17,2,63,IND 17,1,NE,FG
9,2127,3,00:33,,7,2,39,IND 31,0,NE,PENALTY
9,1979,0,02:00,,0,2,35,,0,,
9,2162,3,00:24,,17,2,58,IND 41,0,NE,
9,2017,2,01:54,,2,2,43,IND 37,0,NE,
9,2084,1,01:18,,10,2,49,IND 34,0,NE,
9,1936,0,02:38,,0,2,0,IND 35,0,IND,KICKOFF
9,1996,1,02:00,,10,2,43,IND 45,0,NE,
9,2039,3,01:51,,2,2,44,IND 37,0,NE,
9,2105,2,00:38,,7,2,49,IND 31,0,NE,
9,1955,1,02:38,,10,2,35,NE 20,0,NE,
9,2203,1,00:17,,10,2,73,IND 22,0,NE,PENALTY
9,2186,0,00:17,,0,2,58,,0,,TIMEOUT
24,4559,0,01:19,,0,4,85,NE 15,0,IND,XPB
24,4361,1,03:03,,10,4,17,IND 15,0,IND,
24,4385,1,02:36,,10,4,25,IND 32,0,IND,
24,4452,0,01:58,,0,4,28,,0,,
24,4431,3,02:05,,2,4,28,IND 40,0,IND,
24,4493,1,01:52,,10,4,55,NE 30,0,IND,
24,4539,1,01:26,,10,4,85,NE 18,1,IND,TD
24,4409,2,02:12,,2,4,25,IND 40,0,IND,
24,4469,1,01:58,,10,4,55,IND 43,0,IND,
24,4515,2,01:45,,10,4,85,NE 30,0,IND,
10,2305,1,00:02,,10,2,-1,IND 20,0,IND,
10,2286,0,00:02,,0,2,0,NE 35,0,NE,KICKOFF
10,2326,0,,,0,2,-1,,0,,
20,3748,1,08:04,,20,4,15,IND 18,0,IND,
20,3813,4,06:45,,15,4,7,IND 23,0,IND,PUNT
20,3772,2,07:24,,7,4,15,IND 31,0,IND,
20,3667,2,09:20,,10,4,7,IND 16,0,IND,
20,3645,1,09:26,,10,4,0,IND 16,0,IND,
20,3715,1,08:09,,10,4,2,IND 28,0,IND,PENALTY
20,3691,3,08:40,,3,4,12,IND 23,0,IND,
20,3794,3,07:19,,7,4,7,IND 31,0,IND,
6,1303,1,11:40,,10,2,0,NE 10,0,NE,
6,1326,2,11:37,,10,2,0,NE 10,1,NE,TD
18,3490,3,11:57,,22,4,-7,IND 8,0,IND,
18,3384,0,12:48,,0,4,0,NE 35,0,NE,KICKOFF
18,3425,2,12:43,,10,4,-4,IND 20,0,IND,
18,3403,1,12:48,,10,4,0,IND 20,0,IND,
18,3455,3,12:15,,14,4,-12,IND 16,0,IND,PENALTY
18,3519,4,11:37,,17,4,-7,IND 13,0,IND,PUNT
25,4575,0,01:19,,0,4,0,IND 35,0,IND,KICKOFF
25,4644,0,,,0,4,-2,,0,,
25,4623,2,00:39,,11,4,-2,IND 40,0,NE,
25,4602,1,01:16,,10,4,-1,IND 39,0,NE,
1,58,1,14:57,,10,1,16,IND 11,0,IND,
1,151,1,12:49,,10,1,41,IND 46,0,IND,
1,309,2,08:10,,9,1,84,NE 13,0,IND,
1,196,1,11:23,,10,1,59,NE 25,0,IND,PENALTY
1,103,2,14:02,,6,1,24,IND 31,0,IND,
1,82,1,14:37,,10,1,20,IND 27,0,IND,
1,264,3,09:33,,1,1,75,NE 16,0,IND,
1,396,0,07:16,,0,1,89,NE 15,1,IND,XP
1,333,3,07:28,,1,1,84,NE 5,0,IND,
1,355,4,07:21,,1,1,89,NE 5,1,IND,TD
1,36,0,15:00,,0,1,0,NE 35,0,NE,KICKOFF
1,288,1,08:51,,10,1,89,NE 14,0,IND,
1,240,2,10:18,,11,1,73,NE 26,0,IND,
1,127,3,13:19,,2,1,35,IND 35,0,IND,
1,175,2,12:11,,4,1,64,NE 48,0,IND,
1,219,1,10:58,,15,1,63,NE 30,0,IND,
5,1279,4,11:48,,5,2,27,IND 47,0,IND,PUNT
5,1149,0,13:48,,0,2,0,NE 35,0,NE,KICKOFF
5,1257,3,11:54,,5,2,27,IND 47,0,IND,
5,1169,1,13:48,,10,2,2,IND 20,0,IND,
5,1190,2,13:10,,8,2,22,IND 22,0,IND,
5,1235,2,11:58,,5,2,27,IND 47,0,IND,
5,1214,1,12:33,,10,2,27,IND 42,0,IND,
13,2662,1,10:20,,10,3,15,NE 26,0,NE,
13,2686,1,09:42,,10,3,18,NE 41,0,NE,
13,2751,4,08:54,,7,3,18,NE 44,0,NE,PUNT
13,2707,2,09:04,,7,3,18,NE 44,0,NE,
13,2729,3,08:58,,7,3,18,NE 44,0,NE,
21,3875,3,05:54,,7,4,-4,NE 44,0,NE,
21,3925,4,05:19,,19,4,-9,NE 32,0,NE,PUNT
21,3894,4,05:20,,14,4,-9,NE 37,0,NE,PENALTY
21,3853,2,05:58,,7,4,3,NE 44,0,NE,
21,3832,1,06:39,,10,4,3,NE 41,0,NE,
23,4170,1,03:31,,10,4,6,NE 29,0,NE,
23,4248,2,03:24,,9,4,3,NE 30,0,NE,
23,4286,3,03:19,,7,4,7,NE 32,0,NE,
