drive,fds,result,penyds,ydsgained,numplays,postime
9,0,Punt,-10,11,6,1:48
24,6,Touchdown,-5,87,16,7:44
10,1,Punt,0,11,5,2:01
20,4,Touchdown,4,48,9,2:11
6,4,Touchdown,0,61,8,3:40
27,3,Downs,15,39,11,1:44
18,0,Punt,-5,9,5,1:09
28,0,End of Game,0,-3,4,1:34
26,0,Punt,-5,9,8,1:16
25,5,Touchdown,-5,85,16,4:21
1,5,Touchdown,28,52,10,2:52
5,0,Punt,-10,3,5,1:10
13,0,Fumble,0,11,1,0:14
21,0,Punt,0,5,5,0:46
23,1,Punt,0,21,8,1:36
11,2,Field Goal,-5,47,8,2:15
14,2,Field Goal,0,25,9,2:18
8,0,Punt,0,3,4,2:08
19,4,Touchdown,0,54,12,4:05
22,0,Fumble,0,-4,3,0:46
12,0,Punt,0,0,5,1:41
16,3,End of Half,5,59,6,0:29
7,1,Punt,0,35,10,1:52
3,1,Punt,-5,16,7,2:33
17,1,Punt,0,21,7,2:48
4,4,Touchdown,-5,74,7,2:45
2,0,Punt,0,9,5,1:00
15,1,Punt,0,16,11,1:14
