drive,fds,result,penyds,ydsgained,numplays,postime
9,0,Punt,0,9,5,2:06
24,1,Punt,0,29,12,2:29
10,0,Punt,0,3,4,0:57
20,3,Field Goal,15,37,8,3:40
6,1,Fumble,0,12,3,1:24
18,2,Missed FG,0,45,12,5:55
25,2,End of Game,-5,34,8,1:07
1,5,Touchdown,20,55,11,4:27
5,1,Punt,0,20,8,3:26
13,0,Punt,0,9,5,2:14
21,0,Punt,-20,27,6,2:00
23,0,Punt,-10,13,6,1:43
11,2,Touchdown,0,43,7,2:37
14,0,Punt,0,9,4,2:08
8,4,Field Goal,0,70,14,5:57
19,2,Touchdown,0,62,5,1:55
22,0,Field Goal,0,2,4,1:23
12,4,Field Goal,15,38,15,2:26
16,0,Punt,-5,1,6,1:56
7,0,Field Goal,-10,5,6,1:10
3,0,Missed FG,0,6,4,1:26
17,1,Field Goal,0,61,5,2:04
4,4,Touchdown,0,64,9,3:13
2,1,Fumble,5,4,5,0:51
15,0,Punt,0,1,4,1:26
