drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
1,36,0,15:00,"M.Crosby kicks 65 yards from GB 35 to end zone, Touchback.",0,1,0,GB 35,0,GB,
1,94,3,14:12,(14:12) (Shotgun) N.Foles pass incomplete short middle to J.Cook (M.Hyde).,8,1,2,STL 22,0,STL,
1,116,4,14:07,"(14:07) J.Hekker punts 43 yards to GB 35, Center-J.McQuaide. M.Hyde ran ob at GB 44 for 9 yards (C.Harkey).",8,1,2,STL 22,0,STL,
1,51,1,15:00,(15:00) T.Gurley up the middle to STL 22 for 2 yards (C.Matthews).,10,1,2,STL 20,0,STL,
1,72,2,14:19,(14:19) (Shotgun) N.Foles pass incomplete short right to K.Britt.,8,1,2,STL 22,0,STL,
9,1314,4,12:32,"(12:32) T.Masthay punts 52 yards to STL 1, Center-B.Goode, downed by GB-J.Janis. St. Louis challenged the touchback ruling, and the play was REVERSED. T.Masthay punts 53 yards to end zone, Center-B.Goode, Touchback.",3,2,7,GB 47,0,GB,
9,1240,1,14:17,(14:17) (Shotgun) J.Starks right guard to GB 42 for 2 yards (M.Barron).,10,2,2,GB 40,0,GB,
9,1261,2,13:45,"(13:45) (No Huddle, Shotgun) A.Rodgers scrambles left end to GB 45 for 3 yards (L.Joyner).",8,2,5,GB 42,0,GB,
9,1282,3,13:05,"(13:05) (No Huddle, Shotgun) A.Rodgers scrambles up the middle to GB 47 for 2 yards (J.Laurinaitis). Penalty on GB-T.Lang, Offensive Holding, declined.",5,2,7,GB 45,0,GB,
24,3859,1,03:13,"(3:13) PENALTY on GB, Offensive 12 On-field, 5 yards, enforced at STL 26 - No Play.",10,4,16,STL 26,0,GB,
24,3780,0,03:18,Timeout #2 by STL at 03:18.,0,4,3,,0,,
24,3818,0,03:13,Timeout #3 by STL at 03:13.,0,4,3,,0,,
24,3903,0,02:00,Two-Minute Warning,0,4,19,,0,,
24,3797,2,03:18,(3:18) E.Lacy left tackle to STL 44 for no gain (W.Hayes).,7,4,3,STL 44,0,GB,
24,3920,2,02:00,(2:00) J.Tretter reported in as eligible.  E.Lacy left end to STL 28 for no gain (R.Quinn; M.Brockers).,12,4,19,STL 28,0,GB,
24,3990,4,01:07,"(1:07) M.Crosby 35 yard field goal is GOOD, Center-B.Goode, Holder-T.Masthay.",1,4,30,STL 17,1,GB,
24,3967,0,01:07,Timeout #1 by GB at 01:07.,0,4,30,,0,,
24,3882,1,02:38,(2:38) J.Kuhn right guard to STL 28 for 3 yards (D.Bates).,15,4,19,STL 31,0,GB,
24,3835,3,03:13,(3:13) A.Rodgers pass short middle to R.Rodgers to STL 26 for 18 yards (R.McLeod).,7,4,21,STL 44,0,GB,
24,3757,1,03:23,(3:23) J.Tretter reported in as eligible.  E.Lacy up the middle to STL 44 for 3 yards (T.McDonald).,10,4,3,STL 47,0,GB,
24,3943,3,01:15,(1:15) A.Rodgers pass short right to T.Montgomery pushed ob at STL 17 for 11 yards (R.McLeod).,12,4,30,STL 28,0,GB,
18,2874,1,04:15,(4:15) E.Lacy up the middle to GB 43 for 3 yards (A.Donald).,10,3,3,GB 40,0,GB,
18,2917,3,03:42,"(3:42) (No Huddle, Shotgun) A.Rodgers sacked at GB 35 for -8 yards (R.Quinn). FUMBLES (R.Quinn), RECOVERED by STL-L.Joyner at GB 41. L.Joyner to GB 41 for no gain (R.Cobb).",7,3,1,GB 43,0,GB,
18,2895,2,03:45,"(3:45) (No Huddle, Shotgun) A.Rodgers pass incomplete short middle to J.Kuhn (N.Fairley).",7,3,3,GB 43,0,GB,
20,3250,2,13:11,(13:11) (Shotgun) A.Rodgers pass short middle to R.Rodgers to STL 26 for 4 yards (L.Joyner).,10,4,31,STL 30,0,GB,
20,3183,1,14:21,"(14:21) (No Huddle, Shotgun) E.Lacy up the middle to STL 38 for 4 yards (J.Laurinaitis; A.Donald).",10,4,19,STL 42,0,GB,
20,3099,1,00:48,(:48) E.Lacy right guard to STL 49 for 8 yards (R.Quinn).,10,3,15,GB 43,0,GB,
20,3274,3,12:29,"(12:29) (No Huddle, Shotgun) A.Rodgers sacked at STL 29 for -3 yards (M.Brockers).",6,4,28,STL 26,0,GB,
20,3204,2,13:52,"(13:52) (No Huddle, Shotgun) A.Rodgers pass short middle to E.Lacy to STL 30 for 8 yards (L.Joyner).",6,4,27,STL 38,0,GB,
20,3323,4,11:38,"(11:38) T.Masthay punts 39 yards to end zone, Center-B.Goode, Touchback.",19,4,18,STL 39,0,GB,
20,3293,4,11:50,"(11:50) M.Crosby 47 yard field goal is GOOD, NULLIFIED by Penalty, Center-B.Goode, Holder-T.Masthay. PENALTY on GB-R.Rodgers, Illegal Use of Hands, 10 yards, enforced at STL 29 - No Play.",9,4,18,STL 29,0,GB,
20,3159,2,15:00,(15:00) (Shotgun) A.Rodgers pass short right to J.Jones to STL 42 for 12 yards (T.Johnson).,7,4,15,GB 46,0,GB,
20,3120,2,00:09,"(:09) (No Huddle) PENALTY on GB-B.Bulaga, False Start, 5 yards, enforced at STL 49 - No Play.",2,3,3,STL 49,0,GB,
20,3228,1,13:16,"(13:16) (No Huddle, Shotgun) A.Rodgers pass incomplete short middle to R.Rodgers.",10,4,27,STL 30,0,GB,
20,3143,0,,END QUARTER 3,0,3,3,,0,,
25,4094,2,00:33,(:33) (Shotgun) N.Foles pass incomplete short middle to T.Austin [D.Jones].,7,4,73,GB 7,0,STL,
25,4116,3,00:28,(:28) (Shotgun) N.Foles pass short right intended for T.Austin INTERCEPTED by Q.Rollins at GB 4. Q.Rollins to GB 7 for 3 yards (T.Austin).,7,4,73,GB 7,0,STL,
25,4072,1,00:34,(:34) (No Huddle) N.Foles spiked the ball to stop the clock.,7,4,73,GB 7,0,STL,
25,4025,1,01:03,"(1:03) (Shotgun) PENALTY on GB, Defensive 12 On-field, 5 yards, enforced at STL 20 - No Play.",10,4,5,STL 20,0,STL,
25,4010,0,01:03,"M.Crosby kicks 65 yards from GB 35 to end zone, Touchback.",0,4,0,GB 35,0,GB,
25,4048,1,01:03,"(1:03) (No Huddle, Shotgun) N.Foles pass deep left to S.Bailey to GB 7 for 68 yards (H.Clinton-Dix).",5,4,73,STL 25,0,STL,
15,2453,1,12:41,(12:41) N.Foles pass short right to L.Kendricks to STL 32 for 12 yards (N.Palmer).,10,3,12,STL 20,0,STL,
15,2438,0,12:41,"M.Crosby kicks 65 yards from GB 35 to end zone, Touchback.",0,3,0,GB 35,0,GB,
15,2522,3,10:38,(10:38) (Shotgun) N.Foles pass incomplete short right to J.Cook [C.Matthews].,3,3,19,STL 39,0,STL,
15,2477,1,12:01,(12:01) T.Gurley left end to STL 35 for 3 yards (H.Clinton-Dix).,10,3,15,STL 32,0,STL,
15,2544,4,10:32,"(10:32) J.Hekker punts 51 yards to GB 10, Center-J.McQuaide. M.Hyde to GB 10 for no gain (C.Davis).",3,3,19,STL 39,0,STL,
15,2498,2,11:21,(11:21) N.Foles pass short right to L.Kendricks to STL 39 for 4 yards (C.Matthews; N.Palmer).,7,3,19,STL 35,0,STL,
16,2650,3,08:42,"(8:42) (No Huddle, Shotgun) A.Rodgers pass incomplete short right to J.Starks.",4,3,6,GB 16,0,GB,
16,2570,1,10:24,"(10:24) (Shotgun) A.Rodgers pass short left to J.Starks to GB 20 for 10 yards (J.Laurinaitis). PENALTY on GB-R.Rodgers, Illegal Block Above the Waist, 5 yards, enforced at GB 10 - No Play.",10,3,-5,GB 10,0,GB,
16,2605,1,09:56,(9:56) (Shotgun) A.Rodgers pass short right to R.Cobb pushed ob at GB 11 for 6 yards (T.Johnson).,15,3,1,GB 5,0,GB,
16,2672,4,08:36,"(8:36) T.Masthay punts 47 yards to STL 37, Center-B.Goode. T.Austin to STL 35 for -2 yards (D.Randall).",4,3,6,GB 16,0,GB,
16,2629,2,09:24,"(9:24) (No Huddle, Shotgun) J.Starks right tackle to GB 16 for 5 yards (J.Laurinaitis).",9,3,6,GB 11,0,GB,
14,2286,1,14:58,"(14:58) A.Rodgers pass short right to R.Rodgers to GB 30 for 5 yards (M.Brockers, L.Joyner).",10,3,5,GB 25,0,GB,
14,2322,2,14:19,"(14:19) (No Huddle, Shotgun) A.Rodgers scrambles right end to GB 35 for 5 yards (T.Johnson).",5,3,10,GB 30,0,GB,
14,2268,0,15:00,"G.Zuerlein kicks 65 yards from STL 35 to end zone, Touchback. PENALTY on STL-D.Bates, Defensive Offside, 5 yards, enforced at GB 20.",0,3,10,STL 35,0,STL,
14,2368,2,12:52,"(12:52) (No Huddle, Shotgun) A.Rodgers pass deep middle to J.Jones to STL 1 for 64 yards (R.McLeod). Green Bay challenged the runner broke the plane ruling, and the play was REVERSED. (No Huddle, Shotgun) A.Rodgers pass deep middle to J.Jones for 65 yards, TOUCHDOWN.",10,3,75,GB 35,1,GB,
14,2343,1,13:29,(13:29) (No Huddle) E.Lacy right tackle to GB 35 for no gain (J.Laurinaitis).,10,3,10,GB 35,0,GB,
14,2422,0,12:41,"M.Crosby extra point is GOOD, Center-B.Goode, Holder-T.Masthay.",0,3,75,STL 15,1,GB,
19,3010,2,01:47,"(1:47) N.Foles sacked at GB 38 for -6 yards (J.Peppers). FUMBLES (J.Peppers) [J.Peppers], recovered by STL-T.Mason at GB 39. T.Mason to GB 35 for 4 yards (M.Daniels).",13,3,6,GB 32,0,STL,
19,3078,4,00:52,"(:52) G.Zuerlein 53 yard field goal is No Good, Wide Left, Center-J.McQuaide, Holder-J.Hekker.",16,3,6,GB 35,0,STL,
19,2968,2,03:02,(3:02) T.Gurley right end pushed ob at GB 29 for 7 yards (D.Randall).,5,3,12,GB 36,0,STL,
19,3039,0,00:57,Timeout #1 by STL at 00:57.,0,3,6,,0,,
19,2989,1,02:28,(2:28) T.Gurley left end to GB 32 for -3 yards (M.Neal).,10,3,9,GB 29,0,STL,
19,2947,1,03:35,(3:35) T.Gurley left tackle to GB 36 for 5 yards (J.Peppers).,10,3,5,GB 41,0,STL,
19,3056,3,00:57,(:57) (Shotgun) N.Foles pass incomplete short right to S.Bailey.,16,3,6,GB 35,0,STL,
17,2831,3,04:26,(4:26) (Shotgun) N.Foles pass incomplete deep right [M.Neal].,5,3,33,GB 32,0,STL,
17,2810,2,05:07,(5:07) T.Gurley up the middle to GB 32 for no gain (L.Guion).,5,3,33,GB 32,0,STL,
17,2719,2,07:49,(7:49) T.Gurley left tackle to STL 43 for 4 yards (N.Palmer).,6,3,8,STL 39,0,STL,
17,2853,4,04:19,"(4:19) G.Zuerlein 50 yard field goal is BLOCKED (D.Jones), Center-J.McQuaide, Holder-J.Hekker.",5,3,33,GB 32,0,STL,
17,2789,1,05:46,(5:46) T.Gurley left end to GB 32 for 5 yards (M.Daniels).,10,3,33,GB 37,0,STL,
17,2698,1,08:26,(8:26) T.Gurley left end to STL 39 for 4 yards (Q.Rollins).,10,3,4,STL 35,0,STL,
17,2740,3,07:07,(7:07) T.Austin left end to STL 43 for no gain (Q.Rollins).,2,3,8,STL 43,0,STL,
17,2761,4,06:33,(6:33) (Punt formation) J.Hekker pass deep middle to C.Davis to GB 37 for 20 yards (C.Banjo).,2,3,33,STL 43,0,STL,
23,3736,4,03:28,"(3:28) G.Zuerlein 63 yard field goal is No Good, Wide Left, Center-J.McQuaide, Holder-J.Hekker.",7,4,25,GB 45,0,STL,
23,3573,2,06:49,(6:49) T.Gurley left tackle to STL 41 for 11 yards (H.Clinton-Dix).,10,4,11,STL 30,0,STL,
23,3615,2,05:32,(5:32) (Shotgun) N.Foles pass incomplete short left to B.Quick (S.Shields).,7,4,14,STL 44,0,STL,
23,3644,3,05:26,(5:26) (Shotgun) N.Foles pass short right to J.Cook to GB 48 for 8 yards (M.Hyde).,7,4,22,STL 44,0,STL,
23,3552,1,07:32,(7:32) T.Gurley up the middle to STL 30 for no gain (M.Pennel).,10,4,0,STL 30,0,STL,
23,3668,1,04:47,(4:47) N.Foles pass incomplete deep right to J.Cook.,10,4,22,GB 48,0,STL,
23,3594,1,06:12,(6:12) T.Gurley left end to STL 44 for 3 yards (L.Guion).,10,4,14,STL 41,0,STL,
23,3709,3,03:58,(3:58) (Shotgun) N.Foles pass short middle to B.Cunningham to GB 45 for 11 yards (D.Randall). GB-C.Hayward was injured during the play.,18,4,25,STL 44,0,STL,
23,3690,2,04:40,(4:40) N.Foles sacked at STL 44 for -8 yards (C.Matthews).,10,4,14,GB 48,0,STL,
