drive,fds,result,penyds,ydsgained,numplays,postime
24,0,End of Game,0,-3,4,1:53
20,0,Fumble,0,0,1,0:06
21,0,Downs,0,0,5,0:37
22,0,Field Goal,0,9,7,0:55
23,0,Interception,0,-16,5,0:56
1,0,Punt,0,3,5,0:59
3,0,Punt,0,6,5,1:35
2,5,Touchdown,-5,67,14,6:56
5,1,Punt,5,14,7,2:57
4,0,Punt,0,8,4,1:58
7,0,Punt,5,-10,5,1:46
6,2,Punt,0,35,6,2:52
9,1,Punt,0,17,7,2:33
8,2,Field Goal,-5,33,10,4:45
11,5,Touchdown,12,68,11,1:18
10,3,Touchdown,0,81,6,1:52
13,1,Punt,5,18,8,2:19
12,0,End of Half,0,3,2,0:29
15,2,Field Goal,-5,24,10,2:59
14,0,Punt,-22,13,5,1:51
17,1,Punt,0,14,5,2:25
16,0,Punt,0,-4,5,1:31
19,6,Field Goal,-10,87,21,10:27
18,6,Touchdown,0,92,11,4:01
