drive,fds,result,penyds,ydsgained,numplays,postime
9,1,Interception,0,16,3,1:23
24,4,Blocked FG,0,66,15,4:37
10,0,Punt,0,-2,4,2:16
20,0,Punt,0,9,5,2:18
6,0,Punt,0,1,5,1:42
27,2,End of Game,0,28,13,5:20
18,0,Punt,0,0,4,0:50
26,4,Field Goal,10,33,15,5:02
25,5,Touchdown,15,47,9,3:38
1,1,Punt,5,23,8,2:18
5,0,Punt,0,8,5,1:03
13,0,Interception,0,3,6,0:27
21,0,Interception,0,-4,3,1:00
23,2,Touchdown,0,75,5,0:52
11,1,Punt,0,8,5,2:43
14,2,End of Half,0,33,12,1:24
8,0,Punt,0,6,4,1:45
19,1,Field Goal,0,19,6,1:25
22,1,Touchdown,0,21,3,0:14
12,4,Touchdown,24,32,9,2:51
16,0,Punt,0,3,4,1:24
7,0,Punt,0,7,4,2:02
3,0,Punt,0,8,4,1:18
17,0,Punt,0,7,4,1:30
4,3,Field Goal,5,47,12,5:50
2,2,Punt,-5,35,9,2:58
15,0,Punt,-10,13,6,1:50
