drive,fds,result,penyds,ydsgained,numplays,postime
9,6,Touchdown,-11,104,17,8:30
1,2,Punt,6,23,9,2:42
12,2,Interception,0,35,6,2:45
4,4,Interception,0,68,16,6:56
11,0,End of Half,0,-1,3,0:16
2,0,Punt,-3,12,5,2:45
20,4,Downs,-5,54,19,5:25
13,1,Punt,-15,27,8,3:35
15,2,Touchdown,0,58,6,1:53
10,2,Touchdown,-5,59,6,0:52
18,1,Field Goal,0,10,8,3:46
8,0,Punt,0,8,4,1:40
6,1,Punt,-10,23,7,2:02
19,1,Punt,0,27,6,2:40
14,0,Punt,0,8,4,1:27
3,0,Punt,0,5,4,1:24
17,0,Punt,-5,6,6,2:00
7,0,Punt,0,6,4,1:35
16,5,Touchdown,-10,90,12,5:25
5,0,Interception,-5,4,5,1:18
21,0,Downs,0,-30,5,1:04
