drive,fds,result,penyds,ydsgained,numplays,postime
9,0,Interception,0,5,3,0:33
24,0,Punt,-12,-2,6,1:51
10,3,Touchdown,0,22,5,1:54
20,0,Interception,0,-1,3,0:59
6,2,Punt,0,23,8,4:23
27,3,Interception,0,61,12,1:34
18,5,Touchdown,0,91,9,3:31
28,1,End of Game,0,12,5,1:07
26,0,Interception,0,9,3,1:23
25,1,Punt,10,7,7,1:54
1,0,Punt,0,9,5,1:56
5,1,Punt,0,19,7,2:43
13,3,Missed FG,0,49,12,1:03
21,0,Punt,0,-2,4,1:02
23,0,Field Goal,0,7,4,1:54
11,1,Punt,-10,26,9,3:26
14,3,Touchdown,1,20,6,0:48
8,2,Field Goal,0,26,11,5:23
19,1,Punt,0,28,7,2:19
22,0,Punt,0,7,4,2:26
12,3,Field Goal,-5,59,12,3:27
16,5,Touchdown,4,75,12,3:27
7,0,Punt,0,0,4,2:17
3,0,Interception,0,0,1,0:11
17,5,Fumble,10,50,10,4:08
4,1,Touchdown,0,85,3,0:23
2,1,Punt,0,26,5,2:21
15,1,Touchdown,0,27,5,1:37
