drive,fds,result,penyds,ydsgained,numplays,postime
24,0,Punt,0,3,4,0:55
25,0,Punt,0,8,4,2:25
26,4,Touchdown,0,70,14,2:08
27,0,End of Game,0,-3,5,1:31
20,3,Fumble,0,72,11,3:47
21,0,Punt,0,9,4,2:18
22,0,Punt,0,7,4,1:16
23,0,Punt,0,7,5,1:34
1,1,Fumble,0,12,6,1:59
3,2,Punt,-5,30,10,4:04
2,1,Punt,0,19,7,3:33
5,1,Punt,0,20,7,2:53
4,0,Field Goal,0,7,4,2:05
7,0,Punt,-15,4,6,1:19
6,2,Fumble,0,17,7,2:53
9,0,Punt,0,4,4,1:35
8,2,Punt,0,27,9,4:09
11,2,Punt,0,25,10,0:56
10,3,Touchdown,-10,75,9,2:58
13,0,Punt,0,0,4,0:20
12,0,Punt,-6,4,6,0:30
15,5,Touchdown,0,80,10,3:27
14,0,End of Half,0,5,2,0:46
17,2,Touchdown,0,34,7,2:49
16,1,Interception,-10,22,6,2:32
19,3,Field Goal,18,30,10,4:44
18,0,Punt,0,-1,5,0:34
