drive,fds,result,penyds,ydsgained,numplays,postime
11,1,Punt,-5,19,8,2:42
10,0,End of Half,0,-6,2,0:15
13,6,Field Goal,-20,83,18,7:10
12,3,Interception,0,36,7,3:28
15,2,Punt,-5,33,10,4:19
14,4,Touchdown,5,70,9,1:46
17,0,Punt,0,6,4,1:36
16,1,Punt,8,6,6,1:55
19,1,Interception,0,20,9,0:55
18,6,Touchdown,-10,93,16,5:51
20,0,End of Game,0,-1,2,0:18
1,3,Missed FG,10,50,14,7:03
3,0,Safety,0,-5,1,0:04
2,0,Punt,0,1,4,0:37
5,4,Field Goal,-5,52,17,7:12
4,5,Touchdown,-5,84,12,3:01
7,1,Punt,0,55,5,2:25
6,2,Punt,-5,39,12,4:36
9,0,Punt,0,7,6,0:49
8,5,Field Goal,-21,96,20,3:58
