drive,fds,result,penyds,ydsgained,numplays,postime
24,2,Punt,5,28,15,2:53
25,0,Safety,0,-10,1,0:07
26,0,End of Game,0,-4,6,1:51
20,0,Punt,-10,-5,5,2:27
21,4,Interception,0,64,14,5:00
22,1,Field Goal,0,22,5,1:40
23,4,Field Goal,5,61,12,4:32
1,1,Punt,0,15,6,1:41
3,0,Punt,-5,6,5,0:49
2,1,Punt,0,19,6,3:09
5,2,Field Goal,10,43,11,3:24
4,0,Punt,-10,1,5,1:30
7,0,Punt,0,5,4,1:12
6,0,Punt,0,-8,5,1:06
9,4,Field Goal,-10,81,15,6:10
8,6,Touchdown,5,75,12,2:55
11,0,Punt,-5,9,5,1:26
10,2,Missed FG,-5,30,11,2:03
13,0,Interception,0,0,2,0:11
12,0,Punt,-15,1,6,1:40
15,0,End of Half,0,9,6,1:38
14,1,Punt,5,11,8,1:06
17,1,Punt,-10,29,7,1:45
16,3,Field Goal,0,40,13,5:39
19,0,Interception,0,3,3,0:48
18,2,Field Goal,0,61,8,3:18
