drive,fds,result,penyds,ydsgained,numplays,postime
9,2,Punt,-5,24,9,2:31
10,1,Punt,0,25,6,2:12
20,2,Field Goal,0,54,13,3:49
6,1,Punt,0,18,7,2:30
18,1,Field Goal,0,29,6,3:34
1,3,Interception,0,63,11,4:26
5,4,Touchdown,0,61,13,5:14
13,1,Punt,0,14,8,2:59
21,5,Touchdown,0,75,11,2:13
11,1,Punt,0,20,6,1:52
14,5,Touchdown,-5,87,13,6:33
8,1,Touchdown,-10,17,5,1:27
19,2,Touchdown,0,82,7,2:30
22,0,End of Game,0,-2,7,1:25
12,2,End of Half,-11,34,8,0:32
16,3,Interception,0,53,13,5:15
7,0,Interception,0,0,2,0:56
3,3,Touchdown,0,71,9,3:06
17,0,Interception,0,0,1,0:12
4,1,Punt,-5,1,9,3:46
2,0,Punt,0,-2,4,1:28
15,0,Punt,-5,11,6,1:30
