drive,fds,result,penyds,ydsgained,numplays,postime
20,3,Punt,5,28,8,2:58
21,5,Touchdown,-10,96,16,6:18
22,5,Touchdown,0,83,11,1:29
23,0,End of Game,0,-2,4,1:04
1,3,Touchdown,0,80,10,4:14
3,0,Punt,0,4,4,1:04
2,0,Punt,0,-4,5,2:18
5,0,Punt,0,-7,6,1:22
4,4,Field Goal,0,73,14,7:02
7,0,Punt,0,-6,5,1:33
6,0,Interception,0,9,3,1:32
9,5,Touchdown,20,60,10,3:47
8,2,Touchdown,0,46,5,2:06
11,4,Interception,0,74,14,2:53
10,1,Punt,15,11,6,2:02
13,4,Field Goal,0,73,13,5:39
12,0,End of Half,0,-1,2,0:07
15,1,Fumble,0,24,3,1:02
14,1,Interception,0,42,5,1:32
17,1,Touchdown,0,16,4,1:12
16,0,Interception,0,-4,3,1:32
19,4,Touchdown,0,70,10,3:52
18,1,Punt,-4,20,7,3:22
