drive,fds,result,penyds,ydsgained,numplays,postime
17,3,Touchdown,0,75,6,2:03
16,5,Touchdown,24,54,14,5:31
20,1,Downs,0,31,7,0:55
19,0,Punt,0,4,6,0:32
22,0,Downs,0,-4,4,0:26
8,5,Touchdown,19,56,15,4:44
18,2,Touchdown,0,75,8,2:00
11,2,Field Goal,0,43,10,3:10
2,0,Punt,-6,6,5,1:40
14,5,Touchdown,40,35,15,3:03
7,3,Field Goal,15,29,15,6:10
9,2,Punt,0,29,9,3:03
4,3,Touchdown,-10,34,8,2:10
5,4,Field Goal,5,24,14,6:33
15,1,Punt,0,16,8,2:11
6,0,Punt,-10,13,6,1:47
21,0,Punt,-5,0,7,1:10
13,4,Field Goal,17,41,14,6:48
3,1,Interception,15,2,4,1:17
1,0,Punt,0,8,5,1:30
10,5,Field Goal,32,43,13,1:06
12,0,Punt,0,-4,5,2:11
