drive,fds,result,penyds,ydsgained,numplays,postime
20,4,Interception,26,49,13,2:00
21,0,End of Game,0,-3,4,1:56
1,1,Punt,5,4,7,3:20
3,3,Field Goal,0,68,9,3:51
2,0,Punt,-5,5,5,0:54
5,3,Field Goal,6,55,15,6:06
4,0,Punt,0,5,5,1:28
7,3,Field Goal,0,63,13,5:08
6,4,Missed FG,-25,77,15,7:23
9,0,Punt,-10,8,4,0:37
8,0,Punt,0,0,5,0:23
11,0,End of Half,0,-1,3,0:10
10,0,Field Goal,0,5,4,0:40
13,0,Punt,0,7,4,1:55
12,1,Punt,0,16,8,3:36
15,5,Touchdown,5,68,8,4:01
14,4,Missed FG,-5,58,11,4:57
17,3,Field Goal,-1,58,14,5:20
16,7,Touchdown,10,70,15,5:18
19,0,Field Goal,0,8,7,0:20
18,0,Interception,0,3,3,0:37
