drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
24,3085,2,10:51,"(10:51) (No Huddle, Shotgun) C.Newton pass short right to C.Brown for 8 yards, TOUCHDOWN.",7,4,30,IND 8,1,CAR,TD
24,3105,0,10:44,"G.Gano extra point is No Good, Wide Left, Center-J.Jansen, Holder-B.Nortman.",0,4,30,IND 15,0,CAR,XPM
24,3036,1,12:08,(12:08) (Shotgun) C.Newton pass deep left to G.Olsen to IND 11 for 19 yards (E.Walden).,10,4,19,IND 30,0,CAR,
24,3064,1,11:25,"(11:25) (No Huddle, Shotgun) F.Whittaker left end to IND 8 for 3 yards (D.Butler).",10,4,22,IND 11,0,CAR,
25,3259,2,08:20,(8:20) (Shotgun) A.Luck pass deep right to A.Johnson to CAR 27 for 30 yards (K.Coleman).,10,4,59,IND 43,0,IND,
25,3237,1,08:27,"(8:27) (No Huddle, Shotgun) A.Luck pass incomplete short left to A.Johnson (C.Tillman).",10,4,29,IND 43,0,IND,
25,3213,2,09:01,"(9:01) (No Huddle, Shotgun) A.Luck pass short right to F.Gore to IND 43 for 12 yards (K.Coleman; B.Benwikere).",6,4,29,IND 31,0,IND,
25,3121,0,10:44,G.Gano kicks 69 yards from CAR 35 to IND -4. Q.Bray to IND 14 for 18 yards (J.Webb).,0,4,0,CAR 35,0,CAR,KICKOFF
25,3144,1,10:40,(10:40) (Shotgun) F.Gore up the middle to IND 14 for no gain (J.Allen; L.Kuechly).,10,4,0,IND 14,0,IND,
25,3327,0,07:04,"A.Vinatieri extra point is GOOD, Center-M.Overton, Holder-P.McAfee.",0,4,86,CAR 15,1,IND,XP
25,3307,2,07:11,"(7:11) (No Huddle, Shotgun) A.Luck pass deep left to A.Johnson for 18 yards, TOUCHDOWN.",1,4,86,CAR 18,1,IND,TD
25,3165,2,10:04,(10:04) A.Luck pass short left to D.Moncrief to IND 27 for 13 yards (C.Tillman).,10,4,13,IND 14,0,IND,
25,3283,1,07:48,"(7:48) (No Huddle, Shotgun) A.Luck pass short right to G.Whalen to CAR 18 for 9 yards (J.Norman).",10,4,68,CAR 27,0,IND,
25,3189,1,09:32,"(9:32) (No Huddle, Shotgun) A.Luck pass short right to D.Allen to IND 31 for 4 yards (K.Coleman).",10,4,17,IND 27,0,IND,
26,3474,4,04:51,"(4:51) B.Nortman punts 38 yards to IND 37, Center-J.Jansen. T.Hilton to IND 43 for 6 yards (B.Jacobs).",5,4,5,CAR 25,0,CAR,PUNT
26,3457,0,04:51,Timeout #1 by IND at 04:51.,0,4,5,,0,,TIMEOUT
26,3343,0,07:04,"P.McAfee kicks 65 yards from IND 35 to end zone, Touchback.",0,4,0,IND 35,0,IND,KICKOFF
26,3436,3,05:01,(5:01) (Shotgun) J.Stewart up the middle to CAR 25 for 10 yards (D.Lowery; D.Jackson).,15,4,5,CAR 15,0,CAR,
26,3362,1,07:03,(7:03) J.Stewart right end pushed ob at CAR 24 for 4 yards (D.Lowery).,10,4,4,CAR 20,0,CAR,
26,3404,3,05:35,"(5:35) (Shotgun) C.Newton up the middle to CAR 42 for 17 yards (M.Adams). PENALTY on CAR-G.Olsen, Offensive Holding, 10 yards, enforced at CAR 25 - No Play.",5,4,-5,CAR 25,0,CAR,PENALTY
26,3383,2,06:22,(6:22) (Shotgun) J.Stewart up the middle to CAR 25 for 1 yard (R.Mathis).,6,4,5,CAR 24,0,CAR,
27,3591,1,03:41,"(3:41) (No Huddle, Shotgun) A.Luck pass short right to G.Whalen pushed ob at CAR 13 for 9 yards (B.Benwikere).",10,4,44,CAR 22,0,IND,
27,3688,0,02:27,"A.Vinatieri extra point is GOOD, Center-M.Overton, Holder-P.McAfee.",0,4,57,CAR 15,1,IND,XP
27,3639,1,03:05,"(3:05) (No Huddle, Shotgun) A.Luck pass short left to C.Fleener pushed ob at CAR 8 for 3 yards (L.Kuechly).",10,4,49,CAR 11,0,IND,
27,3615,2,03:34,(3:34) (Shotgun) A.Luck pass short left to C.Fleener to CAR 11 for 2 yards (B.Benwikere).,1,4,46,CAR 13,0,IND,
27,3543,3,04:29,(4:29) (Shotgun) A.Luck pass deep middle to A.Johnson to CAR 37 for 20 yards (K.Coleman).,10,4,20,IND 43,0,IND,
27,3499,1,04:41,(4:41) (Shotgun) A.Luck pass incomplete short left to A.Bradshaw.,10,4,0,IND 43,0,IND,
27,3668,2,02:37,"(2:37) (No Huddle, Shotgun) A.Luck pass short middle to C.Fleener for 8 yards, TOUCHDOWN.",7,4,57,CAR 8,1,IND,TD
27,3521,2,04:35,(4:35) A.Luck pass incomplete deep right to D.Moncrief [J.Allen].,10,4,0,IND 43,0,IND,
27,3567,1,04:04,(4:04) (No Huddle) A.Luck pass short right to T.Hilton to CAR 22 for 15 yards (J.Norman).,10,4,35,CAR 37,0,IND,
20,2711,1,01:01,(1:01) J.Stewart up the middle to IND 27 for 2 yards (H.Anderson).,10,3,2,IND 29,0,CAR,
20,2752,0,00:14,"G.Gano extra point is GOOD, Center-J.Jansen, Holder-B.Nortman.",0,3,29,IND 15,1,CAR,XP
20,2732,2,00:22,"(:22) (No Huddle, Shotgun) C.Newton pass deep left to G.Olsen for 27 yards, TOUCHDOWN.",8,3,29,IND 27,1,CAR,TD
21,2787,1,00:14,(:14) (Shotgun) F.Gore up the middle to IND 21 for 1 yard (K.Short; K.Ealy).,10,3,1,IND 20,0,IND,
21,2768,0,00:14,"G.Gano kicks 65 yards from CAR 35 to end zone, Touchback.",0,3,0,CAR 35,0,CAR,KICKOFF
21,2865,4,14:18,"(14:18) P.McAfee punts 52 yards to CAR 34, Center-M.Overton. T.Ginn to CAR 34 for no gain (C.Anderson). PENALTY on CAR-T.Williams, Offensive Holding, 10 yards, enforced at CAR 34.",16,4,-6,IND 14,0,IND,PUNT
21,2846,3,14:57,(14:57) (Shotgun) A.Luck sacked at IND 14 for -7 yards (J.Allen).,9,4,-6,IND 21,0,IND,
21,2808,0,,END QUARTER 3,0,3,1,,0,,
21,2824,2,15:00,(15:00) (Shotgun) A.Luck pass incomplete short left to D.Moncrief (K.Short).,9,4,1,IND 21,0,IND,
22,2901,1,14:06,(14:06) (Shotgun) C.Newton pass incomplete short right to G.Olsen (G.Toler).,10,4,0,CAR 24,0,CAR,
22,2944,3,13:19,(13:19) (Shotgun) C.Newton sacked at CAR 17 for -9 yards (R.Mathis).,8,4,-7,CAR 26,0,CAR,
22,2923,2,14:00,(14:00) J.Stewart up the middle to CAR 26 for 2 yards (B.Werner; H.Anderson).,10,4,2,CAR 24,0,CAR,
22,2963,4,12:39,"(12:39) B.Nortman punts 53 yards to IND 30, Center-J.Jansen. T.Hilton to IND 23 for -7 yards (T.Williams).",17,4,-7,CAR 17,0,CAR,PUNT
23,3010,2,12:20,(12:20) A.Luck pass deep middle intended for T.Hilton INTERCEPTED by K.Coleman at IND 45. K.Coleman to IND 30 for 15 yards (A.Johnson).,10,4,0,IND 23,0,IND,INT
23,2988,1,12:25,(12:25) A.Luck pass incomplete short left to C.Fleener.,10,4,0,IND 23,0,IND,
28,3782,0,02:16,Timeout #3 by IND at 02:16.,0,4,6,,0,,TIMEOUT
28,3761,2,02:22,(2:22) (Shotgun) J.Stewart up the middle to CAR 27 for 5 yards (J.Freeman; D.Jackson).,8,4,7,CAR 22,0,CAR,
28,3799,0,02:16,Timeout #2 by CAR at 02:16.,0,4,7,,0,,TIMEOUT
28,3744,0,02:22,Timeout #2 by IND at 02:22.,0,4,2,,0,,TIMEOUT
28,3838,4,02:10,"(2:10) B.Nortman punts 40 yards to IND 33, Center-J.Jansen. T.Hilton pushed ob at IND 40 for 7 yards (A.Klein).",3,4,7,CAR 27,0,CAR,PUNT
28,3816,3,02:16,(2:16) (Shotgun) C.Newton pass incomplete short left to T.Ginn (V.Davis).,3,4,7,CAR 27,0,CAR,
28,3704,0,02:27,"P.McAfee kicks 65 yards from IND 35 to end zone, Touchback.",0,4,0,IND 35,0,IND,KICKOFF
28,3723,1,02:27,(2:27) (Shotgun) J.Stewart up the middle to CAR 22 for 2 yards (H.Anderson; D.Jackson).,10,4,2,CAR 20,0,CAR,
29,4166,3,00:31,(:31) (Shotgun) A.Luck pass short left to C.Fleener to CAR 12 for 7 yards (L.Kuechly).,3,4,48,CAR 19,0,IND,
29,4091,3,00:53,(:53) (Shotgun) A.Luck pass short right to D.Moncrief ran ob at CAR 26 for 5 yards.,4,4,34,CAR 31,0,IND,
29,4120,1,00:48,(:48) (Shotgun) A.Luck pass incomplete deep left to T.Hilton (K.Coleman).,10,4,34,CAR 26,0,IND,
29,3912,2,01:56,(1:56) (Shotgun) A.Luck pass incomplete deep right to D.Moncrief (C.Tillman).,10,4,0,IND 40,0,IND,
29,4065,2,01:00,(1:00) (Shotgun) A.Luck scrambles left end pushed ob at CAR 31 for 6 yards (R.Harper).,10,4,29,CAR 37,0,IND,
29,3934,3,01:49,(1:49) (Shotgun) A.Luck pass incomplete deep right to D.Moncrief.,10,4,0,IND 40,0,IND,
29,4194,1,00:20,(:20) (No Huddle) A.Luck spiked the ball to stop the clock.,10,4,54,CAR 12,0,IND,
29,3873,1,02:02,(2:02) (Shotgun) A.Luck pass incomplete short left to D.Moncrief (L.Kuechly).,10,4,0,IND 40,0,IND,
29,4254,3,00:09,(:09) (Shotgun) A.Luck pass incomplete short middle to A.Johnson (L.Kuechly).,4,4,54,CAR 6,0,IND,
29,4015,2,01:18,(1:18) (Shotgun) A.Luck pass short middle to G.Whalen to CAR 37 for 11 yards (C.Tillman).,10,4,23,CAR 48,0,IND,
29,4142,2,00:41,(:41) (Shotgun) A.Luck pass short right to G.Whalen to CAR 19 for 7 yards (R.Harper).,10,4,41,CAR 26,0,IND,
29,4237,0,00:09,Timeout #3 by CAR at 00:09.,0,4,54,,0,,TIMEOUT
29,4280,4,00:02,"(:02) A.Vinatieri 24 yard field goal is GOOD, Center-M.Overton, Holder-P.McAfee.",4,4,54,CAR 6,1,IND,FG
29,4216,2,00:19,(:19) (Shotgun) A.Luck scrambles right end pushed ob at CAR 6 for 6 yards (J.Norman).,10,4,54,CAR 12,0,IND,
29,3963,4,01:49,"(1:49) (Shotgun) A.Luck pass short middle to G.Whalen to CAR 48 for 12 yards (L.Kuechly). The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands.",10,4,12,IND 40,0,IND,
29,4039,1,01:18,(1:18) (No Huddle) A.Luck spiked the ball to stop the clock.,10,4,23,CAR 37,0,IND,
29,3993,1,01:24,(1:24) (Shotgun) A.Luck pass incomplete deep right to T.Hilton (J.Norman).,10,4,12,CAR 48,0,IND,
29,3895,0,01:56,Two-Minute Warning,0,4,0,,0,,
1,87,2,14:31,"(14:31) A.Luck Aborted. J.Harrison FUMBLES at IND 25, RECOVERED by CAR-R.Harper at IND 24. R.Harper to IND 24 for no gain (J.Reitz).",7,1,2,IND 25,0,IND,FUMBLE
1,36,0,15:00,"G.Gano kicks 73 yards from CAR 35 to IND -8. Q.Bray MUFFS catch, touched at IND -8, and recovers at IND -8. Q.Bray to IND 22 for 30 yards (M.Tolbert).",0,1,2,CAR 35,0,CAR,KICKOFF
1,58,1,14:56,(14:56) A.Luck pass short left to C.Fleener pushed ob at IND 25 for 3 yards (R.Harper).,10,1,3,IND 22,0,IND,
3,197,0,13:41,"G.Gano kicks 65 yards from CAR 35 to end zone, Touchback.",0,1,0,CAR 35,0,CAR,KICKOFF
3,212,1,13:41,(13:41) F.Gore left tackle to IND 25 for 5 yards (K.Short; L.Kuechly).,10,1,5,IND 20,0,IND,
3,254,3,12:35,(12:35) A.Luck pass short left intended for T.Hilton INTERCEPTED by C.Tillman [J.Allen] at IND 37. C.Tillman to IND 37 for no gain (D.Allen).,3,1,7,IND 27,0,IND,INT
3,233,2,13:16,(13:16) (No Huddle) F.Gore left tackle to IND 27 for 2 yards (L.Kuechly; T.Davis).,5,1,7,IND 25,0,IND,
