drive,fds,result,penyds,ydsgained,numplays,postime
24,0,Missed FG,0,2,7,0:20
25,2,Punt,-10,27,8,3:04
26,3,Missed FG,0,39,11,4:39
27,2,Missed FG,0,24,8,3:10
20,0,Fumble,0,-2,3,0:54
21,1,Interception,6,6,5,2:09
22,0,Punt,0,9,4,1:58
23,4,Field Goal,0,79,13,2:20
28,3,Field Goal,0,47,8,2:24
1,1,Punt,0,4,7,2:25
3,0,Punt,0,-7,4,1:25
2,0,Punt,0,9,4,1:38
5,0,Punt,0,-1,4,1:25
4,1,Punt,0,11,5,1:51
7,1,Punt,0,17,6,1:53
6,3,Field Goal,-5,59,12,5:10
9,3,Touchdown,0,90,6,2:33
8,3,Punt,0,40,8,4:13
11,1,Punt,0,14,8,1:47
10,3,Field Goal,0,58,11,4:40
13,0,End of Half,0,6,1,0:12
12,1,Punt,0,32,6,0:48
15,4,Field Goal,-15,81,17,7:00
14,1,Touchdown,0,80,4,0:52
17,2,Punt,0,29,7,2:32
16,2,Touchdown,0,83,6,1:53
19,5,Touchdown,0,89,14,6:25
18,2,Punt,0,48,8,3:37
