drive,fds,result,penyds,ydsgained,numplays,postime
24,0,Punt,0,-7,6,1:09
25,1,Downs,0,33,7,1:06
26,1,End of Game,0,12,8,1:55
20,2,Field Goal,-30,68,10,5:09
21,2,Fumble,0,74,6,1:57
22,0,Punt,0,-5,4,1:49
23,5,Touchdown,0,61,10,2:24
1,1,Punt,0,27,8,2:54
3,3,Punt,0,39,7,3:15
2,2,Punt,-5,38,11,3:37
5,1,Touchdown,0,23,3,0:14
4,1,Punt,-5,27,7,3:11
7,0,Punt,-5,7,6,2:00
6,2,Downs,0,62,9,2:28
9,0,Field Goal,0,5,4,2:06
8,0,Interception,0,0,2,0:21
11,2,Punt,0,26,7,2:52
10,1,Punt,0,20,8,3:41
13,0,End of Half,0,0,2,0:02
12,7,Touchdown,15,73,16,3:19
15,1,Fumble,0,21,5,2:29
14,0,Punt,0,7,5,2:16
17,1,Punt,0,9,8,2:15
16,0,Field Goal,0,5,4,1:32
19,1,Missed FG,-10,30,9,3:30
18,1,Field Goal,0,25,6,2:29
