drive,fds,result,penyds,ydsgained,numplays,postime
9,2,End of Half,0,21,13,3:02
18,0,Punt,-5,-3,6,1:10
6,1,Punt,0,11,9,2:36
14,0,Punt,0,9,5,1:24
7,2,Touchdown,-5,90,9,2:48
8,5,Touchdown,-10,85,16,7:09
10,4,Missed FG,5,39,13,6:23
19,2,End of Game,0,19,12,4:29
12,1,Punt,0,17,6,3:23
16,0,Punt,0,6,5,1:13
11,0,Punt,0,8,4,1:05
3,1,Fumble,-10,23,7,2:33
17,4,Field Goal,14,45,14,5:59
4,0,Punt,-5,4,5,1:38
2,0,Punt,0,-8,4,2:11
1,1,Punt,-5,20,8,3:16
5,3,Field Goal,-10,69,10,4:47
13,3,Downs,30,19,8,3:33
15,0,Punt,0,-8,4,1:21
