drive,fds,result,penyds,ydsgained,numplays,postime
1,3,Punt,0,34,12,6:19
21,0,End of Game,0,-2,3,0:52
17,2,Touchdown,0,75,7,2:49
7,0,Punt,0,4,4,1:08
10,0,Punt,-5,9,6,2:27
20,1,Downs,0,8,7,0:50
4,7,Touchdown,-5,80,16,6:25
6,1,Interception,0,25,4,2:14
13,2,Punt,-15,64,9,4:17
14,4,Downs,12,74,11,6:09
11,1,Punt,-5,24,6,2:41
5,0,Punt,-5,0,6,2:42
9,1,End of Half,-5,-3,11,2:08
19,0,Punt,0,2,8,0:35
12,1,Punt,0,10,5,1:39
18,2,Field Goal,0,52,7,1:07
8,5,Field Goal,0,93,12,6:43
2,0,"Fumble, Safety",-8,-8,4,0:52
16,3,Touchdown,-10,92,9,2:50
15,2,Punt,0,44,7,3:44
3,0,Field Goal,0,4,6,1:29
