drive,fds,result,penyds,ydsgained,numplays,postime
20,2,Interception,0,30,4,1:19
21,0,Punt,0,4,6,0:56
22,5,Touchdown,0,81,12,2:24
23,0,End of Game,0,-3,5,1:34
1,3,Touchdown,0,57,8,3:06
3,0,Punt,-5,5,5,1:59
2,2,Punt,0,30,9,3:11
5,2,Touchdown,0,82,5,1:37
4,2,Field Goal,0,26,6,1:52
7,1,Punt,0,16,6,1:53
6,0,Punt,-10,7,5,1:37
9,5,Touchdown,12,63,10,5:17
8,4,Downs,-2,73,14,7:19
11,0,End of Half,0,-8,4,1:10
10,0,Punt,0,-6,7,0:59
13,4,Touchdown,0,83,9,3:41
12,5,Field Goal,10,56,17,5:44
15,1,Punt,0,16,11,3:43
14,2,Fumble,0,40,7,2:03
17,0,Field Goal,0,2,5,2:26
16,4,Touchdown,0,98,6,1:44
19,0,Punt,0,2,6,1:18
18,4,Field Goal,0,74,14,3:08
