drive,fds,result,penyds,ydsgained,numplays,postime
20,5,Touchdown,0,83,11,3:08
21,0,Fumble,0,5,3,0:13
22,1,End of Game,0,27,9,1:43
1,0,Punt,0,9,6,1:17
3,1,Punt,0,13,6,1:41
2,2,Field Goal,0,41,8,3:14
5,1,Punt,0,13,6,2:12
4,0,Punt,0,9,4,1:54
7,4,Field Goal,31,34,13,4:11
6,4,Touchdown,0,79,12,4:46
9,4,Touchdown,0,50,8,3:17
8,0,Fumble,0,26,3,0:59
11,2,Missed FG,0,33,6,1:56
10,2,Blocked FG,5,38,12,4:31
13,0,Punt,-10,12,6,2:05
12,0,End of Half,0,-1,2,0:02
15,2,Punt,0,22,11,5:10
14,4,Field Goal,5,53,14,5:21
17,5,Touchdown,0,73,9,4:32
16,1,Punt,5,9,8,2:35
19,1,Punt,-7,29,6,1:58
18,3,Field Goal,0,53,9,3:15
