drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
20,3439,1,05:21,(5:21) (Shotgun) A.Rodgers pass short left to R.Cobb to GB 40 for 17 yards (C.Munnerlyn).,10,4,17,GB 23,0,GB,
20,3591,3,02:27,(2:27) (Shotgun) A.Rodgers pass incomplete short right to J.Jones [E.Kendricks].,13,4,64,MIN 13,0,GB,
20,3613,0,02:18,Timeout #2 by GB at 02:18.,0,4,64,,0,,TIMEOUT
20,3463,1,04:37,"(4:37) (No Huddle, Shotgun) A.Rodgers pass deep middle to J.Jones to MIN 23 for 37 yards (T.Newman). MIN-A.Barr was injured during the play.",10,4,54,GB 40,0,GB,
20,3513,2,03:56,"(3:56) (No Huddle, Shotgun) A.Rodgers pass short middle to J.Kuhn to MIN 10 for 13 yards (A.Sendejo).",10,4,67,MIN 23,0,GB,
20,3487,1,04:02,(4:02) (Shotgun) A.Rodgers pass incomplete deep left to J.Jones.,10,4,54,MIN 23,0,GB,
20,3572,2,03:10,(3:10) (Shotgun) A.Rodgers sacked at MIN 13 for -3 yards (S.Floyd).,10,4,64,MIN 10,0,GB,
20,3630,4,02:18,(2:18) (Shotgun) A.Rodgers pass deep left intended for J.Jones INTERCEPTED by X.Rhodes [T.Johnson] at MIN -4. Touchback.,13,4,64,MIN 13,0,GB,INT
20,3537,1,03:17,"(3:17) (No Huddle, Shotgun) A.Rodgers pass short left to R.Cobb to MIN 10 for no gain (C.Munnerlyn). Penalty on GB-L.Taylor, Ineligible Downfield Pass, declined.",10,4,67,MIN 10,0,GB,
21,3771,0,01:08,Timeout #1 by MIN at 01:08.,0,4,7,,0,,TIMEOUT
21,3663,1,02:09,"(2:09) T.Bridgewater FUMBLES (Aborted) at MIN 15, recovered by MIN-A.Peterson at MIN 20. A.Peterson to MIN 20 for no gain (J.Ryan).",10,4,7,MIN 20,0,MIN,FUMBLE
21,3712,2,02:00,"(2:00) A.Peterson left end to MIN 25 for 5 yards (J.Peppers, C.Matthews).",10,4,5,MIN 20,0,MIN,
21,3750,3,01:53,"(1:53) A.Peterson up the middle to MIN 27 for 2 yards (H.Clinton-Dix, J.Ryan).",5,4,7,MIN 25,0,MIN,
21,3695,0,02:00,Two-Minute Warning,0,4,0,,0,,
21,3792,4,01:07,"(1:07) J.Locke punts 36 yards to GB 37, Center-K.McDermott. M.Hyde pushed ob at GB 42 for 5 yards (A.Sendejo).",3,4,7,MIN 27,0,MIN,PUNT
21,3733,0,01:53,Timeout #3 by GB at 01:53.,0,4,5,,0,,TIMEOUT
22,3823,1,00:58,(:58) (Shotgun) A.Rodgers pass incomplete short middle to D.Adams [T.Johnson].,10,4,0,GB 42,0,GB,
22,3942,2,00:24,"(:24) (No Huddle, Shotgun) A.Rodgers pass incomplete deep left to J.Jones.",3,4,19,MIN 39,0,GB,
22,3918,1,00:27,(:27) (No Huddle) A.Rodgers pass short right to D.Adams pushed ob at MIN 39 for 7 yards (T.Newman).,10,4,19,MIN 46,0,GB,
22,3964,3,00:15,"(:15) (No Huddle, Shotgun) A.Rodgers pass short left to R.Rodgers to MIN 38 for 1 yard (X.Rhodes).",3,4,20,MIN 39,0,GB,
22,3850,2,00:54,"(:54) (No Huddle, Shotgun) A.Rodgers pass incomplete short middle to R.Cobb.",10,4,0,GB 42,0,GB,
22,3994,4,00:01,"(:01) (No Huddle, Shotgun) A.Rodgers pass incomplete deep left to J.Jones (A.Barr).",2,4,20,MIN 38,0,GB,
22,3872,3,00:50,"(:50) (No Huddle, Shotgun) A.Rodgers pass incomplete deep right to R.Rodgers (C.Munnerlyn).",10,4,0,GB 42,0,GB,
22,3894,4,00:43,"(:43) (No Huddle, Shotgun) A.Rodgers pass short middle to R.Rodgers to MIN 46 for 12 yards (C.Munnerlyn; A.Sendejo).",10,4,12,GB 42,0,GB,
1,204,2,11:00,(11:00) T.Bridgewater pass incomplete deep right to M.Pruitt.,10,1,59,GB 21,0,MIN,
1,51,1,15:00,(15:00) A.Peterson left tackle to MIN 21 for 1 yard (M.Pennel; M.Burnett).,10,1,1,MIN 20,0,MIN,
1,36,0,15:00,"M.Crosby kicks 65 yards from GB 35 to end zone, Touchback.",0,1,0,GB 35,0,GB,KICKOFF
1,115,2,13:35,(13:35) A.Peterson left end to MIN 30 for -1 yards (C.Matthews).,10,1,10,MIN 31,0,MIN,
1,136,3,12:50,(12:50) (Shotgun) T.Bridgewater pass short middle to J.McKinnon to MIN 38 for 8 yards (J.Thomas).,11,1,18,MIN 30,0,MIN,
1,185,1,11:31,(11:31) T.Bridgewater sacked ob at GB 21 for 0 yards (H.Clinton-Dix).,10,1,59,GB 21,0,MIN,
1,226,3,10:54,(10:54) (Shotgun) T.Bridgewater pass incomplete deep right to J.Wright.,10,1,59,GB 21,0,MIN,
1,93,1,13:40,(13:40) (Shotgun) T.Bridgewater pass incomplete deep right to J.McKinnon.,10,1,11,MIN 31,0,MIN,
1,160,4,12:16,(12:16) A.Thielen left end to GB 21 for 41 yards (A.Mulumba).,3,1,59,MIN 38,0,MIN,
1,248,4,10:49,"(10:49) B.Walsh 39 yard field goal is GOOD, Center-K.McDermott, Holder-J.Locke.",10,1,59,GB 21,1,MIN,FG
1,72,2,14:24,(14:24) A.Peterson right guard to MIN 31 for 10 yards (M.Burnett).,9,1,11,MIN 21,0,MIN,
3,704,3,00:37,(:37) (Shotgun) T.Bridgewater pass incomplete short middle to M.Wallace.,2,1,8,MIN 32,0,MIN,
3,640,0,02:02,M.Crosby kicks 65 yards from GB 35 to MIN 0. J.McKinnon to MIN 24 for 24 yards (N.Palmer).,0,1,0,GB 35,0,GB,KICKOFF
3,726,4,00:33,"(:33) J.Locke punts 52 yards to GB 16, Center-K.McDermott. M.Hyde to GB 26 for 10 yards (J.Trattou). PENALTY on GB-J.Janis, Illegal Block Above the Waist, 10 yards, enforced at GB 26.",2,1,8,MIN 32,0,MIN,PUNT
3,662,1,01:57,(1:57) A.Peterson up the middle to MIN 30 for 6 yards (J.Ryan).,10,1,6,MIN 24,0,MIN,
3,683,2,01:22,(1:22) A.Peterson left tackle to MIN 32 for 2 yards (M.Daniels; L.Guion).,4,1,8,MIN 30,0,MIN,
2,620,4,02:06,"(2:06) M.Crosby 28 yard field goal is GOOD, Center-R.Lovato, Holder-T.Masthay.",1,1,70,MIN 10,1,GB,FG
2,596,3,02:48,(2:48) A.Rodgers pass short right to J.Kuhn to MIN 10 for 1 yard (C.Greenway).,2,1,70,MIN 11,0,GB,
2,442,1,06:36,(6:36) E.Lacy right end to GB 49 for 6 yards (S.Floyd; E.Griffen).,10,1,29,GB 43,0,GB,
2,400,3,08:10,(8:10) (Shotgun) A.Rodgers scrambles up the middle to GB 41 for 2 yards (E.Kendricks).,3,1,21,GB 39,0,GB,
2,304,2,10:12,"(10:12) E.Lacy right tackle to GB 32 for 11 yards (A.Sendejo, T.Johnson).",9,1,12,GB 21,0,GB,
2,550,1,03:30,(3:30) A.Rodgers pass short left to J.Jones pushed ob at MIN 11 for 8 yards (H.Smith).,10,1,69,MIN 19,0,GB,
