drive,fds,result,penyds,ydsgained,numplays,postime
24,1,Interception,0,7,6,1:48
25,4,Touchdown,10,61,12,4:08
26,3,Fumble,0,26,11,4:21
27,1,Interception,0,13,5,2:06
20,0,Punt,-5,6,5,2:02
21,1,Punt,0,43,6,2:24
22,1,Punt,-5,14,7,2:05
23,0,Punt,0,-12,4,1:36
28,0,Punt,0,9,7,0:27
29,2,Touchdown,0,60,8,1:28
1,0,Punt,0,6,5,1:17
3,2,Touchdown,48,5,5,1:26
2,1,Downs,0,22,6,2:35
5,3,Field Goal,15,43,7,1:55
4,2,Punt,10,17,11,3:08
7,2,Interception,14,21,7,2:39
6,4,Missed FG,0,56,14,5:41
9,0,Punt,0,0,4,1:18
8,0,Punt,0,-3,4,1:05
11,1,Touchdown,0,11,3,0:49
10,0,Interception,0,0,3,1:37
13,2,Punt,5,8,8,2:20
12,0,Punt,0,4,5,1:29
15,0,Punt,0,0,5,1:29
14,0,Punt,0,7,4,0:53
17,3,Field Goal,0,61,12,4:23
16,0,End of Half,0,-1,1,0:19
19,0,Interception,0,0,1,0:07
18,1,Punt,0,5,8,3:05
31,2,Field Goal,0,28,10,4:34
30,3,Downs,0,36,11,4:59
