drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
17,2890,2,13:35,(13:35) (Shotgun) G.Bernard right tackle to CIN 44 for 1 yard (B.Martinez).,10,4,19,CIN 43,0,CIN,
17,2845,1,14:43,(14:43) A.Dalton pass deep right to A.Green pushed ob at CIN 43 for 18 yards (K.King).,10,4,18,CIN 25,0,CIN,
17,2933,4,12:47,"(12:47) K.Huber punts 57 yards to GB 11, Center-C.Harris. T.Davis to GB 21 for 10 yards (C.Fejedelem).",21,4,7,CIN 32,0,CIN,
17,2869,1,14:16,"(14:16) (Shotgun) J.Mixon right guard to CIN 43 for no gain (K.Clark, K.Fackrell).",10,4,18,CIN 43,0,CIN,
17,2830,0,14:43,"M.Crosby kicks 65 yards from GB 35 to end zone, Touchback.",0,4,0,GB 35,0,GB,
17,2911,3,12:54,"(12:54) (Shotgun) A.Dalton pass incomplete short right [A.Brooks]. PENALTY on CIN-A.Dalton, Intentional Grounding, 12 yards, enforced at CIN 44.",9,4,7,CIN 44,0,CIN,
16,2684,1,00:05,(:05) (Shotgun) A.Rodgers pass short middle to T.Montgomery to CIN 10 for 2 yards (V.Rey). CIN-V.Rey was injured during the play. His return is Probable.,5,3,52,CIN 12,0,GB,
16,2583,1,01:55,(1:55) (Shotgun) A.Rodgers pass incomplete short right to T.Montgomery [C.Dunlap].,10,3,13,CIN 49,0,GB,
16,2811,4,14:47,"(14:47) M.Crosby 28 yard field goal is GOOD, Center-B.Goode, Holder-J.Vogel.",3,4,52,CIN 10,1,GB,
16,2629,3,01:09,(1:09) A.Rodgers pass short left to J.Nelson to CIN 17 for 23 yards (N.Vigil).,1,3,45,CIN 40,0,GB,
16,2789,3,14:51,(14:51) (Shotgun) A.Rodgers pass incomplete short left to D.Adams.,3,4,52,CIN 10,0,GB,
16,2767,2,15:00,(15:00) (Shotgun) A.Rodgers pass incomplete short right to L.Kendricks [M.Johnson].,3,4,52,CIN 10,0,GB,
16,2605,2,01:50,(1:50) (Shotgun) A.Rodgers pass short right to G.Allison to CIN 40 for 9 yards (W.Jackson). Balled tipped at the line of scrimmage by 96-C. Dunlap. Play still resulted in completion.,10,3,50,CIN 49,0,GB,
16,2653,1,00:46,"(:46) (No Huddle) A.Rodgers sacked at CIN 26 for -9 yards (C.Lawson). PENALTY on CIN-W.Jackson, Defensive 12 On-field, 5 yards, enforced at CIN 17 - No Play. Cincinnati challenged the too many players on field ruling, and the play was Upheld. The ruling on the field was confirmed. (Timeout #1.)",10,3,50,CIN 17,0,GB,
16,2562,1,02:41,(2:41) (Shotgun) A.Rodgers scrambles right end to CIN 49 for 13 yards (S.Williams).,10,3,13,GB 38,0,GB,
16,2750,0,,END QUARTER 3,0,3,52,,0,,
20,3799,0,00:17,Timeout #3 by CIN at 00:17.,0,4,0,,0,,
20,3525,1,02:34,"(2:34) (No Huddle, Shotgun) A.Rodgers pass short left to G.Allison to CIN 43 for 3 yards (D.Dennard).",10,4,32,CIN 46,0,GB,
20,3416,0,03:46,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback.",0,4,0,CIN 35,0,CIN,
20,3779,1,00:21,"(:21) (Shotgun) A.Rodgers pass short right to J.Nelson for 3 yards, TOUCHDOWN.",3,4,75,CIN 3,1,GB,
20,3614,2,01:26,"(1:26) (No Huddle, Shotgun) A.Rodgers pass short left to M.Bennett to CIN 22 for 6 yards (N.Vigil).",5,4,53,CIN 28,0,GB,
20,3655,1,01:13,(1:13) (Shotgun) A.Rodgers pass short left to D.Adams to CIN 13 for 9 yards (A.Jones). CIN-S.Williams was injured during the play.,10,4,62,CIN 22,0,GB,
20,3638,0,01:13,Timeout #1 by GB at 01:13.,0,4,53,,0,,
