drive,fds,result,penyds,ydsgained,numplays,postime
1,1,Punt,0,18,7,3:02
21,0,Punt,0,8,4,1:20
17,0,Field Goal,0,0,1,0:05
7,0,Interception,0,0,2,0:18
10,1,Punt,0,17,6,1:34
20,3,Missed FG,0,29,11,6:01
4,1,Punt,0,26,6,1:42
6,4,Touchdown,-5,97,13,5:17
13,1,Touchdown,0,17,4,1:16
25,2,Field Goal,15,21,8,3:28
14,0,Interception,0,0,2,0:05
11,0,Punt,0,2,5,1:23
5,2,Punt,0,30,8,3:02
28,2,End of Game,0,28,13,0:40
26,1,Touchdown,0,95,3,0:19
27,4,Touchdown,5,75,12,3:15
22,3,Punt,-5,35,13,4:53
9,3,Punt,0,30,14,4:31
19,0,Punt,0,-3,5,0:56
12,0,Interception,0,0,1,0:12
18,6,Touchdown,20,60,14,5:16
8,0,Punt,0,-8,4,1:30
2,2,Touchdown,0,47,4,1:07
16,1,Fumble,0,13,7,0:43
24,0,"Fumble, Safety",0,-14,1,0:05
15,0,Field Goal,0,2,5,0:26
3,6,Touchdown,5,75,11,3:47
23,3,Punt,-5,41,12,3:47
