drive,fds,result,penyds,ydsgained,numplays,postime
20,0,Fumble,0,14,1,0:09
21,1,Field Goal,0,11,5,0:20
1,2,Field Goal,0,54,10,4:11
3,0,Punt,0,9,4,1:39
2,2,Interception,-5,30,9,3:32
5,1,Punt,5,-1,7,2:29
4,0,Punt,0,7,4,1:38
7,7,Touchdown,-5,85,15,5:44
6,0,Punt,0,9,5,1:42
9,4,Touchdown,5,82,10,3:36
8,2,Punt,0,23,11,3:37
11,0,End of Half,0,-1,3,0:10
10,4,Field Goal,5,41,18,1:42
13,6,Punt,-5,56,23,10:08
12,2,Punt,0,27,10,4:31
15,0,Interception,0,4,4,1:30
14,4,Field Goal,0,62,12,3:19
17,2,Field Goal,0,35,7,3:09
16,1,Punt,0,18,7,2:58
19,1,Punt,-5,11,8,1:18
18,1,Punt,0,21,8,2:38
