eid,season,week,Home,Away,HomeScore,AwayScore,Day,Time,Favorite,Underdog,Spread
2012090500,2012,1,NYG,DAL,17,24,Wed,08:30,NYG,DAL,-3.5
2012090900,2012,1,CHI,IND,41,21,Sun,01:00,CHI,IND,-10
2012090901,2012,1,MIN,JAC,26,23,Sun,01:00,MIN,JAC,-3.5
2012090902,2012,1,NYJ,BUF,48,28,Sun,01:00,NYJ,BUF,-3
2012090903,2012,1,HOU,MIA,30,10,Sun,01:00,HOU,MIA,-13
2012090904,2012,1,TEN,NE,13,34,Sun,01:00,NE,TEN,-5.5
2012090905,2012,1,DET,STL,27,23,Sun,01:00,DET,STL,-8.5
2012090906,2012,1,NO,WAS,32,40,Sun,01:00,NO,WAS,-8.5
2012090907,2012,1,CLE,PHI,16,17,Sun,01:00,PHI,CLE,-9
2012090908,2012,1,KC,ATL,24,40,Sun,01:00,ATL,KC,-2.5
2012090909,2012,1,GB,SF,22,30,Sun,04:25,GB,SF,-5
2012090910,2012,1,ARI,SEA,20,16,Sun,04:25,SEA,ARI,-3
2012090911,2012,1,TB,CAR,16,10,Sun,04:25,CAR,TB,-3
2012090912,2012,1,DEN,PIT,31,19,Sun,08:20,DEN,PIT,-2.5
2012091000,2012,1,BAL,CIN,44,13,Mon,07:00,BAL,CIN,-7
2012091001,2012,1,OAK,SD,14,22,Mon,10:15,OAK,SD,-1
2012091300,2012,2,GB,CHI,23,10,Thu,08:20,GB,CHI,-5
2012091600,2012,2,NYG,TB,41,34,Sun,01:00,NYG,TB,-7.5
2012091601,2012,2,CAR,NO,35,27,Sun,01:00,NO,CAR,-3
2012091602,2012,2,NE,ARI,18,20,Sun,01:00,NE,ARI,-13.5
2012091603,2012,2,IND,MIN,23,20,Sun,01:00,MIN,IND,-3
2012091604,2012,2,PHI,BAL,24,23,Sun,01:00,PHI,BAL,-3
2012091605,2012,2,BUF,KC,35,17,Sun,01:00,BUF,KC,-3
2012091606,2012,2,CIN,CLE,34,27,Sun,01:00,CIN,CLE,-7
2012091607,2012,2,JAC,HOU,7,27,Sun,01:00,HOU,JAC,-6.5
2012091612,2012,2,MIA,OAK,35,13,Sun,01:00,OAK,MIA,-1.5
2012091608,2012,2,SEA,DAL,27,7,Sun,04:05,DAL,SEA,-3
2012091609,2012,2,STL,WAS,31,28,Sun,04:05,WAS,STL,-3.5
2012091610,2012,2,PIT,NYJ,27,10,Sun,04:25,PIT,NYJ,-4.5
2012091611,2012,2,SD,TEN,38,10,Sun,04:25,SD,TEN,-6.5
2012091613,2012,2,SF,DET,27,19,Sun,08:20,SF,DET,-7
2012091700,2012,2,ATL,DEN,27,21,Mon,08:30,ATL,DEN,-3
2012092000,2012,3,CAR,NYG,7,36,Thu,08:20,CAR,NYG,-2.5
2012092300,2012,3,DAL,TB,16,10,Sun,01:00,DAL,TB,-7.5
2012092301,2012,3,CHI,STL,23,6,Sun,01:00,CHI,STL,-7
2012092302,2012,3,MIN,SF,24,13,Sun,01:00,SF,MIN,-7
2012092303,2012,3,TEN,DET,44,41,Sun,01:00,DET,TEN,-4
2012092304,2012,3,WAS,CIN,31,38,Sun,01:00,WAS,CIN,-3
2012092305,2012,3,NO,KC,24,27,Sun,01:00,NO,KC,-8.5
2012092306,2012,3,MIA,NYJ,20,23,Sun,01:00,NYJ,MIA,-2.5
2012092307,2012,3,CLE,BUF,14,24,Sun,01:00,BUF,CLE,-3
2012092308,2012,3,IND,JAC,17,22,Sun,01:00,IND,JAC,-3
2012092309,2012,3,ARI,PHI,27,6,Sun,04:05,PHI,ARI,-3
2012092310,2012,3,SD,ATL,3,27,Sun,04:05,SD,ATL,-3
2012092311,2012,3,DEN,HOU,25,31,Sun,04:25,HOU,DEN,-1.5
2012092312,2012,3,OAK,PIT,34,31,Sun,04:25,PIT,OAK,-3.5
2012092313,2012,3,BAL,NE,31,30,Sun,08:20,BAL,NE,-3
2012092400,2012,3,SEA,GB,14,12,Mon,08:30,GB,SEA,-3
2012092700,2012,4,BAL,CLE,23,16,Thu,08:20,BAL,CLE,-11.5
2012093000,2012,4,BUF,NE,28,52,Sun,01:00,NE,BUF,-4
2012093001,2012,4,HOU,TEN,38,14,Sun,01:00,HOU,TEN,-13
2012093002,2012,4,KC,SD,20,37,Sun,01:00,SD,KC,-2.5
2012093003,2012,4,DET,MIN,13,20,Sun,01:00,DET,MIN,-3.5
