eid,season,week,Home,Away,HomeScore,AwayScore,Day,Time,Favorite,Underdog,Spread
2010090900,2010,1,NO,MIN,14,9,Thu,08:30,NO,MIN,-5
2010091200,2010,1,TB,CLE,17,14,Sun,01:00,TB,CLE,-3
2010091201,2010,1,BUF,MIA,10,15,Sun,01:00,MIA,BUF,-3
2010091202,2010,1,NE,CIN,38,24,Sun,01:00,NE,CIN,-5
2010091203,2010,1,HOU,IND,34,24,Sun,01:00,IND,HOU,-1.5
2010091204,2010,1,JAC,DEN,24,17,Sun,01:00,JAC,DEN,-3
2010091205,2010,1,TEN,OAK,38,13,Sun,01:00,TEN,OAK,-6.5
2010091206,2010,1,NYG,CAR,31,18,Sun,01:00,NYG,CAR,-5.5
2010091207,2010,1,CHI,DET,19,14,Sun,01:00,CHI,DET,-6.5
2010091209,2010,1,PIT,ATL,15,9,Sun,01:00,ATL,PIT,-1
2010091208,2010,1,STL,ARI,13,17,Sun,04:15,ARI,STL,-3
2010091210,2010,1,PHI,GB,20,27,Sun,04:15,GB,PHI,-3
2010091211,2010,1,SEA,SF,31,6,Sun,04:15,SF,SEA,-3
2010091212,2010,1,WAS,DAL,13,7,Sun,08:20,DAL,WAS,-3.5
2010091300,2010,1,NYJ,BAL,9,10,Mon,07:00,NYJ,BAL,-1
2010091301,2010,1,KC,SD,21,14,Mon,10:15,SD,KC,-4
2010091901,2010,2,GB,BUF,34,7,Sun,01:00,GB,BUF,-12.5
2010091902,2010,2,MIN,MIA,10,14,Sun,01:00,MIN,MIA,-5.5
2010091903,2010,2,CLE,KC,14,16,Sun,01:00,CLE,KC,-3
2010091904,2010,2,TEN,PIT,11,19,Sun,01:00,TEN,PIT,-6
2010091905,2010,2,DAL,CHI,20,27,Sun,01:00,DAL,CHI,-7
2010091906,2010,2,DET,PHI,32,35,Sun,01:00,PHI,DET,-6.5
2010091907,2010,2,ATL,ARI,41,7,Sun,01:00,ATL,ARI,-7
2010091908,2010,2,CAR,TB,7,20,Sun,01:00,CAR,TB,-4
2010091912,2010,2,CIN,BAL,15,10,Sun,01:00,BAL,CIN,-3
2010091909,2010,2,DEN,SEA,31,14,Sun,04:05,DEN,SEA,-3
2010091910,2010,2,OAK,STL,16,14,Sun,04:05,OAK,STL,-3.5
2010091900,2010,2,WAS,HOU,27,30,Sun,04:15,HOU,WAS,-2.5
2010091911,2010,2,NYJ,NE,28,14,Sun,04:15,NE,NYJ,-3
2010091913,2010,2,SD,JAC,38,13,Sun,04:15,SD,JAC,-7
2010091914,2010,2,IND,NYG,38,14,Sun,08:20,IND,NYG,-4.5
2010092000,2010,2,SF,NO,22,25,Mon,08:30,NO,SF,-4.5
2010092600,2010,3,NYG,TEN,10,29,Sun,01:00,NYG,TEN,-3
2010092601,2010,3,CAR,CIN,7,20,Sun,01:00,CIN,CAR,-3.5
2010092602,2010,3,TB,PIT,13,38,Sun,01:00,PIT,TB,-2.5
2010092603,2010,3,NE,BUF,38,30,Sun,01:00,NE,BUF,-14.5
2010092604,2010,3,BAL,CLE,24,17,Sun,01:00,BAL,CLE,-12.5
2010092605,2010,3,MIN,DET,24,10,Sun,01:00,MIN,DET,-13
2010092606,2010,3,NO,ATL,24,27,Sun,01:00,NO,ATL,-3
2010092608,2010,3,HOU,DAL,13,27,Sun,01:00,HOU,DAL,-2.5
2010092609,2010,3,KC,SF,31,10,Sun,01:00,SF,KC,-3
2010092607,2010,3,STL,WAS,30,16,Sun,04:05,WAS,STL,-5
2010092610,2010,3,JAC,PHI,3,28,Sun,04:05,PHI,JAC,-2.5
2010092611,2010,3,DEN,IND,13,27,Sun,04:15,IND,DEN,-6
2010092612,2010,3,ARI,OAK,24,23,Sun,04:15,ARI,OAK,-5.5
2010092613,2010,3,SEA,SD,27,20,Sun,04:15,SD,SEA,-3.5
2010092614,2010,3,MIA,NYJ,23,31,Sun,08:20,MIA,NYJ,-2.5
2010092700,2010,3,CHI,GB,20,17,Mon,08:30,GB,CHI,-3
2010100300,2010,4,BUF,NYJ,14,38,Sun,01:00,NYJ,BUF,-5.5
2010100301,2010,4,CLE,CIN,23,20,Sun,01:00,CIN,CLE,-2
2010100302,2010,4,PIT,BAL,14,17,Sun,01:00,PIT,BAL,-2.5
2010100303,2010,4,TEN,DEN,20,26,Sun,01:00,TEN,DEN,-6.5
2010100304,2010,4,GB,DET,28,26,Sun,01:00,GB,DET,-14.5
2010100305,2010,4,ATL,SF,16,14,Sun,01:00,ATL,SF,-7
2010100306,2010,4,NO,CAR,16,14,Sun,01:00,NO,CAR,-12.5
2010100307,2010,4,STL,SEA,20,3,Sun,01:00,SEA,STL,-2
2010100308,2010,4,JAC,IND,31,28,Sun,04:05,IND,JAC,-7
2010100309,2010,4,OAK,HOU,24,31,Sun,04:05,HOU,OAK,-3
2010100310,2010,4,PHI,WAS,12,17,Sun,04:15,PHI,WAS,-5
2010100311,2010,4,SD,ARI,41,10,Sun,04:15,SD,ARI,-10
2010100312,2010,4,NYG,CHI,17,3,Sun,08:20,NYG,CHI,-3.5
2010100400,2010,4,MIA,NE,14,41,Mon,08:30,MIA,NE,0
2010101000,2010,5,BUF,JAC,26,36,Sun,01:00,BUF,JAC,-2.5
2010101001,2010,5,BAL,DEN,31,17,Sun,01:00,BAL,DEN,-8
2010101002,2010,5,IND,KC,19,9,Sun,01:00,IND,KC,-7.5
2010101003,2010,5,WAS,GB,16,13,Sun,01:00,GB,WAS,-3
2010101004,2010,5,DET,STL,44,6,Sun,01:00,DET,STL,-3
2010101005,2010,5,CAR,CHI,6,23,Sun,01:00,CAR,CHI,-3
2010101006,2010,5,CIN,TB,21,24,Sun,01:00,CIN,TB,-6.5
2010101007,2010,5,CLE,ATL,10,20,Sun,01:00,ATL,CLE,-3
2010101008,2010,5,HOU,NYG,10,34,Sun,01:00,HOU,NYG,-3
2010101009,2010,5,ARI,NO,30,20,Sun,04:05,NO,ARI,-7
2010101010,2010,5,DAL,TEN,27,34,Sun,04:15,DAL,TEN,-7
2010101011,2010,5,OAK,SD,35,27,Sun,04:15,SD,OAK,-7
2010101012,2010,5,SF,PHI,24,27,Sun,08:20,SF,PHI,-3.5
2010101100,2010,5,NYJ,MIN,29,20,Mon,08:30,NYJ,MIN,-4
2010101700,2010,6,GB,MIA,20,23,Sun,01:00,GB,MIA,-3
2010101701,2010,6,STL,SD,20,17,Sun,01:00,SD,STL,-8.5
2010101702,2010,6,NE,BAL,23,20,Sun,01:00,NE,BAL,-3
2010101703,2010,6,PIT,CLE,28,10,Sun,01:00,PIT,CLE,-14
2010101704,2010,6,HOU,KC,35,31,Sun,01:00,HOU,KC,-4.5
2010101705,2010,6,NYG,DET,28,20,Sun,01:00,NYG,DET,-10
2010101706,2010,6,PHI,ATL,31,17,Sun,01:00,PHI,ATL,-2
2010101707,2010,6,CHI,SEA,20,23,Sun,01:00,CHI,SEA,-6
2010101708,2010,6,TB,NO,6,31,Sun,01:00,NO,TB,-5
2010101709,2010,6,DEN,NYJ,20,24,Sun,04:05,NYJ,DEN,-3.5
2010101710,2010,6,SF,OAK,17,9,Sun,04:05,SF,OAK,-7.5
2010101711,2010,6,MIN,DAL,24,21,Sun,04:15,MIN,DAL,-1.5
2010101712,2010,6,WAS,IND,24,27,Sun,08:20,IND,WAS,-3
2010101800,2010,6,JAC,TEN,3,30,Mon,08:30,TEN,JAC,-3
2010102400,2010,7,ATL,CIN,39,32,Sun,01:00,ATL,CIN,-3.5
2010102401,2010,7,MIA,PIT,22,23,Sun,01:00,PIT,MIA,-3
2010102402,2010,7,BAL,BUF,37,34,Sun,01:00,BAL,BUF,-12.5
2010102403,2010,7,KC,JAC,42,20,Sun,01:00,KC,JAC,-9
2010102404,2010,7,NO,CLE,17,30,Sun,01:00,NO,CLE,-12.5
2010102405,2010,7,CHI,WAS,14,17,Sun,01:00,CHI,WAS,-3
2010102406,2010,7,CAR,SF,23,20,Sun,01:00,SF,CAR,-2
2010102407,2010,7,TB,STL,18,17,Sun,01:00,TB,STL,-3
2010102408,2010,7,TEN,PHI,37,19,Sun,01:00,TEN,PHI,-3
2010102409,2010,7,SEA,ARI,22,10,Sun,04:05,SEA,ARI,-6.5
2010102410,2010,7,SD,NE,20,23,Sun,04:15,SD,NE,-2.5
2010102411,2010,7,DEN,OAK,14,59,Sun,04:15,DEN,OAK,-7
2010102412,2010,7,GB,MIN,28,24,Sun,08:20,GB,MIN,-2.5
2010102500,2010,7,DAL,NYG,35,41,Mon,08:30,DAL,NYG,-3.5
2010103100,2010,8,SF,DEN,24,16,Sun,01:00,SF,DEN,-2
2010103101,2010,8,DAL,JAC,17,35,Sun,01:00,DAL,JAC,-6.5
2010103102,2010,8,CIN,MIA,14,22,Sun,01:00,CIN,MIA,0
2010103103,2010,8,KC,BUF,13,10,Sun,01:00,KC,BUF,-7
2010103104,2010,8,DET,WAS,37,25,Sun,01:00,DET,WAS,-2.5
2010103105,2010,8,STL,CAR,20,10,Sun,01:00,STL,CAR,-2.5
2010103106,2010,8,NYJ,GB,0,9,Sun,01:00,NYJ,GB,-6.5
2010103107,2010,8,SD,TEN,33,25,Sun,04:05,SD,TEN,-5.5
2010103108,2010,8,NE,MIN,28,18,Sun,04:15,NE,MIN,-5
2010103109,2010,8,ARI,TB,35,38,Sun,04:15,ARI,TB,-3
2010103110,2010,8,OAK,SEA,33,3,Sun,04:15,OAK,SEA,-2
2010103111,2010,8,NO,PIT,20,10,Sun,08:20,NO,PIT,-1.5
2010110100,2010,8,IND,HOU,30,17,Mon,08:30,IND,HOU,-5.5
2010110700,2010,9,DET,NYJ,20,23,Sun,01:00,NYJ,DET,-5.5
2010110701,2010,9,BAL,MIA,26,10,Sun,01:00,BAL,MIA,-5.5
2010110702,2010,9,CLE,NE,34,14,Sun,01:00,NE,CLE,-4
2010110703,2010,9,HOU,SD,23,29,Sun,01:00,SD,HOU,-3
2010110704,2010,9,BUF,CHI,19,22,Sun,01:00,CHI,BUF,-3
2010110705,2010,9,MIN,ARI,27,24,Sun,01:00,MIN,ARI,-7.5
2010110706,2010,9,ATL,TB,27,21,Sun,01:00,ATL,TB,-10
2010110707,2010,9,CAR,NO,3,34,Sun,01:00,NO,CAR,-6
2010110708,2010,9,SEA,NYG,7,41,Sun,04:05,NYG,SEA,-7
2010110709,2010,9,PHI,IND,26,24,Sun,04:15,PHI,IND,-3
2010110710,2010,9,OAK,KC,23,20,Sun,04:15,KC,OAK,-1
2010110711,2010,9,GB,DAL,45,7,Sun,08:20,GB,DAL,-7.5
2010110800,2010,9,CIN,PIT,21,27,Mon,08:30,PIT,CIN,-5
2010111100,2010,10,ATL,BAL,26,21,Thu,08:20,ATL,BAL,-1
2010111404,2010,10,CHI,MIN,27,13,Sun,01:00,MIN,CHI,-1
2010111400,2010,10,MIA,TEN,29,17,Sun,01:00,MIA,TEN,-1
2010111401,2010,10,CLE,NYJ,20,26,Sun,01:00,NYJ,CLE,-3
2010111402,2010,10,IND,CIN,23,17,Sun,01:00,IND,CIN,-7
2010111403,2010,10,JAC,HOU,31,24,Sun,01:00,JAC,HOU,-1
2010111406,2010,10,BUF,DET,14,12,Sun,01:00,BUF,DET,-1.5
2010111405,2010,10,TB,CAR,31,16,Sun,01:00,TB,CAR,-7
2010111407,2010,10,DEN,KC,49,29,Sun,04:05,KC,DEN,-1
2010111408,2010,10,NYG,DAL,20,33,Sun,04:15,NYG,DAL,-12
2010111409,2010,10,ARI,SEA,18,36,Sun,04:15,ARI,SEA,-3.5
2010111410,2010,10,SF,STL,23,20,Sun,04:15,SF,STL,-5
2010111411,2010,10,PIT,NE,26,39,Sun,08:20,PIT,NE,-4.5
2010111500,2010,10,WAS,PHI,28,59,Mon,08:30,PHI,WAS,-3
2010111800,2010,11,MIA,CHI,0,16,Thu,08:20,MIA,CHI,-2.5
2010112100,2010,11,CAR,BAL,13,37,Sun,01:00,BAL,CAR,-13
2010112101,2010,11,NYJ,HOU,30,27,Sun,01:00,NYJ,HOU,-6.5
2010112102,2010,11,CIN,BUF,31,49,Sun,01:00,CIN,BUF,-4.5
2010112103,2010,11,PIT,OAK,35,3,Sun,01:00,PIT,OAK,-7
2010112104,2010,11,JAC,CLE,24,20,Sun,01:00,JAC,CLE,-2.5
2010112105,2010,11,DAL,DET,35,19,Sun,01:00,DAL,DET,-5.5
2010112106,2010,11,MIN,GB,3,31,Sun,01:00,GB,MIN,-3
2010112108,2010,11,TEN,WAS,16,19,Sun,01:00,TEN,WAS,-7
2010112109,2010,11,KC,ARI,31,13,Sun,01:00,KC,ARI,-7
2010112107,2010,11,NO,SEA,34,19,Sun,04:05,NO,SEA,-11
2010112110,2010,11,STL,ATL,17,34,Sun,04:05,ATL,STL,-3.5
2010112111,2010,11,SF,TB,0,21,Sun,04:05,SF,TB,-3.5
2010112112,2010,11,NE,IND,31,28,Sun,04:15,NE,IND,-4.5
2010112113,2010,11,PHI,NYG,27,17,Sun,08:20,PHI,NYG,-3.5
2010112200,2010,11,SD,DEN,35,14,Mon,08:30,SD,DEN,-9
2010112500,2010,12,DET,NE,24,45,Thu,12:30,NE,DET,-6
2010112501,2010,12,DAL,NO,27,30,Thu,04:15,NO,DAL,-4.5
2010112502,2010,12,NYJ,CIN,26,10,Thu,08:20,NYJ,CIN,-10
2010112803,2010,12,WAS,MIN,13,17,Sun,01:00,MIN,WAS,-2
2010112802,2010,12,HOU,TEN,20,0,Sun,01:00,HOU,TEN,-5
2010112801,2010,12,BUF,PIT,16,19,Sun,01:00,PIT,BUF,-6
2010112800,2010,12,NYG,JAC,24,20,Sun,01:00,NYG,JAC,-7.5
2010112805,2010,12,ATL,GB,20,17,Sun,01:00,ATL,GB,-2
