TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
9,,0.205597547852,0.096387898362,,1,3,1
9,,0.13277231315,0.118659400444,,2,3,1
9,,0.184933532591,0.103804967412,,3,3,1
9,,0.0659313995685,0.0999442123293,,4,3,1
10,,0.10606889484,0.0975444590207,0.031414205399,1,3,1
10,,,0.125876350611,0.031414205399,2,3,1
10,,0.0449160965282,0.0858270027255,0.031414205399,3,3,1
10,,,0.110697320928,0.031414205399,4,3,1
11,,0.131747858721,0.0987010196793,,1,3,1
11,,0.0168709215526,0.133093300777,,2,3,1
11,,0.183564979214,0.0678490380391,,3,3,1
11,,0.11708343094,0.121450429528,,4,3,1
12,,0.0968689258744,0.0998575803379,0.132167588029,1,3,1
12,,0.122692590512,0.140310250944,0.132167588029,2,3,1
12,,0.100620851864,0.0498710733527,0.132167588029,3,3,1
12,,0.194338243385,0.132203538127,0.132167588029,4,3,1
13,,0.121899647894,0.101014140997,0.035418281546,1,3,1
13,,0.0636463837799,0.147527201111,0.035418281546,2,3,1
13,,0.194030976247,0.0318931086663,0.035418281546,3,3,1
13,,,0.142956646726,0.035418281546,4,3,1
14,,0.0879593871953,0.102170701655,,1,3,1
14,,0.0119007923844,0.154744151278,,2,3,1
14,,0.0475768438053,0.0139151439799,,3,3,1
14,,0.0919437004948,0.153709755325,,4,3,1
15,,0.0492728521233,0.103327262314,,1,3,1
15,,0.170794205506,0.161961101445,,2,3,1
15,,0.0351815133531,,0.0231435779568,3,3,1
15,,0.164462863924,0.164462863924,0.164462863924,4,3,1
16,,0.037016764553,0.104483822973,0.196634034562,1,3,1
16,,0.187233350766,0.169178051611,0.196634034562,2,3,1
16,,0.0512562858804,,0.196634034562,3,3,1
16,,0.150687932361,0.175215972523,0.196634034562,4,3,1
17,,0.133991458245,0.105640383631,0.11427575821,1,3,1
17,,0.1736990587,0.176395001778,0.11427575821,2,3,1
17,,0.00341355427473,,0.11427575821,3,3,1
17,,,0.185969081122,0.11427575821,4,3,1
18,,0.162293909837,0.10679694429,0.131827590623,1,3,1
18,,0.0741914928342,0.183611951945,0.143129683506,2,3,1
18,,0.0614012583059,,0.154431776389,3,3,1
18,,,0.196722189721,0.165733869272,4,3,1
19,,0.0370872367722,0.107953504948,,1,3,1
19,,0.101333413949,0.190828902112,,2,3,1
19,,0.0139353797049,,,3,3,1
19,,0.128018038136,0.20747529832,,4,3,1
20,,0.598554615966,0.109110065607,,1,3,1
20,,0.266838103992,0.198045852279,,2,3,1
20,,,,,3,3,1
20,0.0272203694052,,0.21822840692,,4,3,1
21,,0.449029464473,0.110266626266,,1,3,1
21,,0.139591742724,0.205262802445,,2,3,1
21,,,,,3,3,1
21,,,0.228981515519,,4,3,1
22,,0.0159569436906,0.111423186924,,1,3,1
22,,,0.212479752612,,2,3,1
22,,,,,3,3,1
22,,,0.239734624118,,4,3,1
23,,0.0429071439045,0.112579747583,,1,3,1
23,,0.0643897599171,0.219696702779,,2,3,1
23,,,,,3,3,1
23,,,0.250487732717,,4,3,1
24,,,0.113736308242,,1,3,1
24,,,0.226913652946,,2,3,1
24,,,,,3,3,1
24,0.101011444143,,0.261240841316,,4,3,1
25,,,0.1148928689,,1,3,1
25,,,0.234130603113,,2,3,1
25,,,,,3,3,1
25,0.0924120254656,,0.271993949915,,4,3,1
26,,,0.116049429559,,1,3,1
26,,,0.241347553279,,2,3,1
26,,,,,3,3,1
26,,,0.282747058514,,4,3,1
27,,,0.117205990218,,1,3,1
27,,,0.248564503446,,2,3,1
27,,,,,3,3,1
27,0.161056671566,,0.293500167113,,4,3,1
28,,,0.118362550876,,1,3,1
28,,,0.255781453613,,2,3,1
28,0.0505305832014,,,,3,3,1
28,0.0663829787233,,0.304253275712,,4,3,1
29,,,0.119519111535,,1,3,1
29,0.164106904407,,0.26299840378,,2,3,1
29,0.0396957660272,,,,3,3,1
29,,,0.315006384312,,4,3,1
30,0.066541457204,,0.120675672194,,1,3,1
30,,,0.270215353947,,2,3,1
30,,,,,3,3,1
30,0.333333333333,,0.325759492911,,4,3,1
31,,,0.121832232852,,1,3,1
31,,,0.277432304113,,2,3,1
31,,,,,3,3,1
31,,,0.33651260151,,4,3,1
32,,,0.122988793511,,1,3,1
32,,,0.28464925428,,2,3,1
32,,0.135178473405,,,3,3,1
32,,,0.347265710109,,4,3,1
33,,0.144911822088,0.124145354169,,1,3,1
33,,0.0944331643062,0.291866204447,,2,3,1
33,,,,,3,3,1
33,,,0.358018818708,,4,3,1
34,,0.108869593148,0.125301914828,0.108869593148,1,3,1
34,,,0.299083154614,0.108869593148,2,3,1
34,,,,0.108869593148,3,3,1
34,0.0737859453351,,0.368771927307,0.108869593148,4,3,1
35,,0.183836736526,0.126458475487,,1,3,1
35,,0.0617855028979,0.306300104781,,2,3,1
35,,0.0114956554372,,,3,3,1
35,,,0.379525035906,,4,3,1
36,,0.154923887176,0.127615036145,,1,3,1
36,0.0233307978588,,0.313517054947,,2,3,1
