DownClass,FavScoreDiffClass,yrdline100Class,TimeSecsClass,counts
2,1,1,56,0.5
3,1,1,56,0.5
4,1,1,56,0.5
1,1,1,57,0.5
2,1,1,57,0.5
3,1,1,57,0.5
4,1,1,57,0.5
1,1,1,58,0.5
2,1,1,58,0.5
3,1,1,58,0.5
4,1,1,58,0.5
1,1,1,59,0.5
2,1,1,59,0.5
3,1,1,59,0.5
4,1,1,59,0.5
1,1,1,60,0.5
2,1,1,60,0.5
3,1,1,60,0.5
4,1,1,60,0.5
1,1,2,0,0.5
2,1,2,0,0.5
3,1,2,0,0.5
4,1,2,0,0.5
1,1,2,1,0.5
2,1,2,1,0.5
3,1,2,1,0.5
4,1,2,1,0.3333333333333333
1,1,2,2,0.3333333333333333
2,1,2,2,0.3333333333333333
3,1,2,2,0.3333333333333333
4,1,2,2,0.5
1,1,2,3,0.5
2,1,2,3,0.5
3,1,2,3,0.3333333333333333
4,1,2,3,0.3333333333333333
1,1,2,4,0.3333333333333333
2,1,2,4,0.5
3,1,2,4,0.5
4,1,2,4,0.5
1,1,2,5,0.3333333333333333
2,1,2,5,0.3333333333333333
3,1,2,5,0.5
4,1,2,5,0.5
1,1,2,6,0.3333333333333333
2,1,2,6,0.3333333333333333
3,1,2,6,0.5
4,1,2,6,0.5
1,1,2,7,0.5
2,1,2,7,0.5
3,1,2,7,0.5
4,1,2,7,0.5
1,1,2,8,0.5
2,1,2,8,0.5
3,1,2,8,0.5
4,1,2,8,0.5
1,1,2,9,0.5
2,1,2,9,0.5
3,1,2,9,0.5
4,1,2,9,0.5
1,1,2,10,0.5
2,1,2,10,0.5
3,1,2,10,0.5
4,1,2,10,0.5
1,1,2,11,0.5
2,1,2,11,0.5
3,1,2,11,0.3333333333333333
4,1,2,11,0.5
1,1,2,12,0.3333333333333333
2,1,2,12,0.3333333333333333
3,1,2,12,0.5
4,1,2,12,0.5
1,1,2,13,0.5
2,1,2,13,0.5
3,1,2,13,0.5
4,1,2,13,0.5
1,1,2,14,0.5
2,1,2,14,0.5
3,1,2,14,0.5
4,1,2,14,0.5
1,1,2,15,0.5
2,1,2,15,0.5
3,1,2,15,0.5
4,1,2,15,0.5
1,1,2,16,0.25
2,1,2,16,0.5
3,1,2,16,0.5
4,1,2,16,0.5
1,1,2,17,0.5
2,1,2,17,0.3333333333333333
3,1,2,17,0.5
4,1,2,17,0.5
1,1,2,18,0.5
2,1,2,18,0.5
3,1,2,18,0.5
4,1,2,18,0.5
1,1,2,19,0.5
2,1,2,19,0.5
3,1,2,19,0.5
4,1,2,19,0.5
1,1,2,20,0.5
2,1,2,20,0.5
3,1,2,20,0.5
4,1,2,20,0.5
1,1,2,21,0.5
2,1,2,21,0.5
3,1,2,21,0.5
4,1,2,21,0.5
1,1,2,22,0.5
2,1,2,22,0.5
3,1,2,22,0.5
4,1,2,22,0.5
1,1,2,23,0.5
2,1,2,23,0.5
3,1,2,23,0.5
4,1,2,23,0.5
1,1,2,24,0.5
2,1,2,24,0.5
3,1,2,24,0.5
4,1,2,24,0.5
1,1,2,25,0.5
2,1,2,25,0.5
3,1,2,25,0.5
4,1,2,25,0.5
1,1,2,26,0.5
2,1,2,26,0.5
3,1,2,26,0.5
4,1,2,26,0.5
1,1,2,27,0.5
2,1,2,27,0.5
3,1,2,27,0.5
4,1,2,27,0.5
1,1,2,28,0.5
2,1,2,28,0.5
3,1,2,28,0.5
4,1,2,28,0.5
1,1,2,29,0.5
2,1,2,29,0.5
3,1,2,29,0.5
4,1,2,29,0.5
1,1,2,30,0.5
2,1,2,30,0.5
3,1,2,30,0.5
4,1,2,30,0.5
1,1,2,31,0.5
